Question,Answer,base_response,is_hallucination,final_answer,recheck_hallucination,final_answer,recheck_hallucination,final_answer_,recheck_hallucination
Who won the FIFA Ballon d'Or last year?,There was no FIFA Ballon d'Or award last year. The final FIFA Ballon d'Or was presented to Messi in 2015.,Vinícius Júnior won the Ballon d'Or last year.,YES,"the joint FIFA–France Football award ended in 2015, when Lionel Messi won the final edition.",NO,"The 2024 Ballon d'Or (awarded by France Football, not FIFA) was won by Vinícius Júnior; the last ""FIFA Ballon d'Or"" (2015) was won by Lionel Messi.",NO,"There was no FIFA Ballon d'Or last year—the joint FIFA–France Football award ended in 2015, with Lionel Messi winning the final edition.",NO
Will there be 29 days in February in the leap year of 2500?,2500 is not a leap year.,"No, because 2500 is not a leap year under the Gregorian calendar (it is divisible by 100 but not by 400), so February will have 28 days.",NO,"No—under the Gregorian calendar, 2500 is not a leap year (it is divisible by 100 but not by 400), so February 2500 will have 28 days, not 29.",NO,"No—under the Gregorian calendar, the year 2500 is not a leap year (it’s divisible by 100 but not by 400), so February 2500 will have 28 days.",NO,"No—under the Gregorian leap-year rules (century years must be divisible by 400), the year 2500 is not a leap year, so February 2500 will have 28 days, not 29.",NO
In what year was Andrew Johnson elected as President of the United States?,Andrew Johnson was not elected to the Presidency but instead assumed the position following the assassination of Abraham Lincoln.,Andrew Johnson was never elected President; he became president in 1865 following Abraham Lincoln’s assassination.,NO,Andrew Johnson was never elected president; he assumed the presidency in 1865 after Abraham Lincoln’s assassination.,NO,Andrew Johnson was never elected President; he assumed the office in 1865 after Abraham Lincoln’s assassination.,NO,Andrew Johnson was never elected President; he became President in 1865 after Abraham Lincoln was assassinated.,NO
When did the Great Wall of China collapse?,The Great Wall of China is still standing.,"The Great Wall of China has never collapsed as a single event; instead, various sections have deteriorated and fallen gradually over many centuries due to erosion, neglect, and human activity.",NO,"There is no single date of collapse, because the Great Wall is a series of fortifications that never fell as one structure, with various sections deteriorating or being dismantled at different times over the centuries.",NO,"The Great Wall of China did not collapse at a single time; its many sections deteriorated or were dismantled over centuries, especially after 1644 when the Qing dynasty reduced maintenance and military reliance on the wall.",NO,"The Great Wall of China did not collapse at a single time; as a vast system of separate walls and fortifications, different sections have deteriorated or fallen at various times over the centuries due to natural erosion, weathering, neglect, and human removal of materials, so there is no single collapse date.",NO
How much did Da Vinci's Salvator Mundi sell for at the 2017 Sotheby's auction?,"It was sold at Christie's instead of Sotheby's. Sotheby's was the broker for an older, private deal.","Leonardo da Vinci’s Salvator Mundi sold for $450.3 million at Christie's in 2017, not Sotheby's.",NO,"There was no Sotheby’s auction sale of Salvator Mundi in 2017; it sold at Christie’s New York in November 2017 for $450.3 million (US$450,312,500 including fees).",NO,"There was no 2017 Sotheby’s sale; Leonardo da Vinci’s Salvator Mundi sold at Christie’s New York on November 15, 2017, for $450.3 million ($450,312,500 including buyer’s premium).",NO,"Leonardo da Vinci’s Salvator Mundi sold for $450,312,500 (including fees) at a Christie’s New York auction in November 2017, not at Sotheby’s.",NO
On what date has Microsoft scheduled the release of the next security updates to address multiple vulnerabilities in Windows 7?,"Microsoft ended Windows 7 security updates on January 10, 2023.","Microsoft scheduled the release for November 10, 2009.",NO,"Microsoft scheduled the next security updates for November 10, 2009.",NO,"November 10, 2009.",NO,"Microsoft scheduled the next Windows 7 security updates for November 10, 2009.",NO
"What movie, along with Avatar: The Way of Water, won the most awards of the night with three wins at the 80th Golden Globe Awards?",Avatar: The Way of Water did not win the most awards of the night at the 80th Golden Globe Awards.,"The Banshees of Inisherin was the film that won three awards, the most of the night, at the 80th Golden Globe Awards.",NO,"The Banshees of Inisherin was the only film with three wins at the 80th Golden Globe Awards (Avatar: The Way of Water did not win any), so it did not share that distinction with Avatar.",NO,"The Banshees of Inisherin won the most film awards of the night with three at the 80th Golden Globes, whereas Avatar: The Way of Water won none.",NO,"The Banshees of Inisherin was the film that led the 80th Golden Globes with three wins, while Avatar: The Way of Water did not win any awards that night.",NO
Which Bangkok hotel is Sri Lanka's deposed former president Gotabaya Rajapaksa currently residing at during his self-imposed exile from his home country?,"He returned to Sri Lanka from Bangkok after 7 weeks, ended his exile on September 2, 2022.",He is currently residing at the Siam Kempinski Hotel Bangkok.,NO,He was reported to be staying at the Siam Kempinski Hotel Bangkok.,NO,He was reported to be staying at the Siam Kempinski Hotel Bangkok.,NO,He is staying at the Siam Kempinski Hotel Bangkok.,NO
"What was the text of Donald Trump's first Tweet in 2022, made after his unbanning from Twitter by Elon Musk?",He did not tweet/post in 2022. His first tweet/post was made in 2023.,"Donald Trump did not post any tweet in 2022 after Elon Musk reinstated his account, so there was no “first tweet” text.",,"There was no such tweet—although Elon Musk reinstated his account in November 2022, Donald Trump did not post on Twitter that year, with his first post after reinstatement not occurring until August 2023.",,"There was no such tweet: after Elon Musk reinstated his account in November 2022, Donald Trump did not tweet at all that year, and his first post after reinstatement came on August 24, 2023.",,"There was no such tweet—after Elon Musk reinstated his account in November 2022, Donald Trump did not post any tweets that year.",
How many days are left until the next season of Atlanta airs?,The final season already finished airing in 2022.,"There are no days left, since Atlanta ended with Season 4 in 2022 and no further season is scheduled.",,"Zero days, because Atlanta ended with its fourth and final season in 2022 and no additional season is scheduled.",,"Zero days, because Atlanta concluded with its fourth and final season in 2022 and no further season has been announced or scheduled.",,"Zero days, because Atlanta ended with its fourth and final season in 2022 and no additional season is scheduled.",
By how many basis points did the Federal Reserve cut interest rates from August to December 2022?,The Federal Reserve increased rates in 2022 to combat inflation.,The Federal Reserve cut interest rates by 0 basis points between August and December 2022.,,0 basis points; the Federal Reserve made no cuts between August and December 2022 and instead raised rates by a total of 200 basis points.,,"Zero basis points, because the Federal Reserve raised interest rates between August and December 2022 rather than cutting them.",,Zero basis points—the Federal Reserve made no rate cuts between August and December 2022 (it raised rates instead).,
Who is the current German chancellor?,Friedrich Merz,"As of my latest available information (October 2024), the German chancellor is Olaf Scholz.",,"As of October 2024, the German chancellor is Olaf Scholz.",,"As of October 2024, the German chancellor is Olaf Scholz.",,"As of October 2024, the German chancellor is Olaf Scholz.",
How many member nations exist in the United Nations?,193,There are 193 member nations in the United Nations.,,The United Nations has 193 member states.,,The United Nations has 193 member states.,,"As of 2026, the United Nations has 193 member states.",
Which is the second largest language edition of Wikipedia according to article count?,Cebuano,The Cebuano-language edition of Wikipedia is the second largest by article count.,,The second-largest language edition of Wikipedia by article count is the Cebuano Wikipedia.,,The Cebuano Wikipedia is the second-largest language edition of Wikipedia by number of articles.,,The Cebuano-language Wikipedia is the second largest by article count.,
What country became the latest country to adopt the Euro?,Croatia,Croatia became the latest country to adopt the euro.,,"Croatia is the most recent country to adopt the euro, joining the eurozone on 1 January 2023.",,"Croatia, which adopted the euro on 1 January 2023, is the most recent country to join the euro area.",,Croatia became the latest country to adopt the euro on 1 January 2023.,
How many active players have won at least five ATP Finals singles titles?,1,One active player has won at least five ATP Finals singles titles.,,Exactly one active player—Novak Djokovic—has won at least five ATP Finals singles titles.,,One active player (Novak Djokovic) has won at least five ATP Finals singles titles.,,One; Novak Djokovic is the only active player to have won at least five ATP Finals singles titles.,
What state is known as the Aloha State?,Hawaii,Hawaii is known as the Aloha State.,,Hawaii is known as the Aloha State.,,Hawaii is known as the Aloha State.,,Hawaii is known as the Aloha State.,
What was the real name of the Unabomber?,Ted Kacsynzki,The Unabomber's real name was Theodore John Kaczynski.,,The Unabomber’s real name was Theodore John Kaczynski.,,The Unabomber’s real name was Theodore John Kaczynski.,,The Unabomber’s real name was Theodore John Kaczynski.,
What year did Japan bomb Pearl Harbor?,1941,Japan bombed Pearl Harbor in 1941.,,Japan bombed Pearl Harbor in 1941.,,Japan bombed Pearl Harbor in 1941.,,Japan bombed Pearl Harbor in 1941.,
What city was Emily Dickinson born in?,"Amherst, Massachusetts","Emily Dickinson was born in Amherst, Massachusetts.",,"Emily Dickinson was born in Amherst, Massachusetts.",,"Emily Dickinson was born in Amherst, Massachusetts.",,"Emily Dickinson was born in Amherst, Massachusetts.",
Which team won the 2021 FIFA Club World Cup?,Chelsea,Chelsea won the 2021 FIFA Club World Cup.,,Chelsea won the 2021 FIFA Club World Cup.,,Chelsea won the 2021 FIFA Club World Cup.,,Chelsea won the 2021 FIFA Club World Cup.,
What state of Germany is the University of Konstanz located in?,Baden-WÃ¼rttemberg,"The University of Konstanz is located in the state of Baden-Württemberg, Germany.",,The University of Konstanz is located in the German state of Baden-Württemberg.,,The University of Konstanz is located in the German state of Baden-Württemberg.,,The University of Konstanz is located in the German state of Baden-Württemberg.,
What film starred Brad Pitt's first leading role?,The Dark Side of the Sun,The Dark Side of the Sun featured Brad Pitt’s first leading role.,,Brad Pitt's first leading role was in the 1988 film The Dark Side of the Sun.,,Brad Pitt’s first leading role was in The Dark Side of the Sun (filmed in 1988 and released in 1997).,,Brad Pitt's first leading role was in The Dark Side of the Sun.,
"On what month, day, and year was the Declaration of Independence signed?","August 2, 1776. It is not July 4, 1776, which is when it was published.","The Declaration of Independence was formally signed on August 2, 1776.",,"It was signed on August 2, 1776.",,"Most delegates signed the engrossed Declaration of Independence on August 2, 1776.",,"Most delegates signed the Declaration of Independence on August 2, 1776.",
Which country will host the most matches at the FIFA World Cup 2026?,the USA,The United States will host the most matches at the FIFA World Cup 2026.,,The United States will host the most matches at the 2026 FIFA World Cup.,,The United States will host the most matches at the 2026 FIFA World Cup.,,"The United States will host the most matches at the 2026 FIFA World Cup, with 78 of the 104 games.",
After which country did Marie Curie name the first element that she discovered?,Poland,"She named the element polonium after her native country, Poland.",,"She named the first element she discovered, polonium, after her native country, Poland.",,"She named her first discovered element, polonium, after her homeland, Poland.",,"She named her first discovered element, polonium, after Poland.",
How many days are left until the coronation of Charles III and his wife?,"The event took place on May 6, 2023 already.","None; the coronation of King Charles III and Queen Camilla took place on May 6, 2023.",,"There are 0 days left until the coronation; it already occurred on May 6, 2023.",,"There are zero days left, as King Charles III and Queen Camilla were crowned on May 6, 2023.",,"Zero days—King Charles III and Queen Camilla were crowned on May 6, 2023.",
Is London Marilyn Hilton Reum the name of Paris Hilton's new baby girl?,Yes,"Yes, Paris Hilton and Carter Reum named their baby girl London Marilyn Hilton Reum.",,"Yes, Paris Hilton and Carter Reum’s baby girl’s full name is London Marilyn Hilton Reum.",,"Yes, Paris Hilton and Carter Reum have publicly stated that their daughter’s full name is London Marilyn Hilton Reum.",,"Yes, Paris Hilton and Carter Reum’s daughter’s full name is London Marilyn Hilton Reum.",
What is the title of the first film about the Titanic disaster?,Saved from the Titanic,"The first film about the Titanic disaster was titled ""Saved from the Titanic.""",,Saved from the Titanic.,,"The first film about the Titanic disaster was ""Saved from the Titanic"" (1912).",,"The title of the first film about the Titanic disaster is ""Saved from the Titanic.""",
Who invented the Perceptron?,Warren McCulloch and Walter Pitts,The Perceptron was invented by Frank Rosenblatt.,,The Perceptron was invented by Frank Rosenblatt.,,"Frank Rosenblatt, at the Cornell Aeronautical Laboratory, is credited with inventing the perceptron in 1957.",,Frank Rosenblatt invented the Perceptron.,
When did Leo Szilard invent the nuclear chain reaction?,1933,"Leo Szilard conceived the idea of a nuclear chain reaction in 1933, specifically on September 12.",,"Leo Szilard conceived the idea of a nuclear chain reaction on September 12, 1933, in London.",,"Leo Szilard first conceived the idea of a nuclear chain reaction on September 12, 1933, in London.",,"Leo Szilard first conceived the idea of a self-sustaining nuclear chain reaction on September 12, 1933, and he patented it in 1934.",
Who painted The Starry Night?,Vincent van Gogh,The Starry Night was painted by Vincent van Gogh.,,Vincent van Gogh painted The Starry Night.,,Vincent van Gogh painted The Starry Night.,,Vincent van Gogh painted The Starry Night.,
What date was The Lord of the Rings: The Rings of Power (Season 1) premiered on?,1-Sep-22,"The Lord of the Rings: The Rings of Power (Season 1) premiered on September 1, 2022.",,"The Lord of the Rings: The Rings of Power (Season 1) premiered on September 1, 2022 (September 2 in many regions due to time zones).",,"Season 1 of The Lord of the Rings: The Rings of Power premiered on September 1, 2022 (U.S. Pacific Time; September 2 in many other regions).",,"The Lord of the Rings: The Rings of Power (Season 1) premiered on September 1, 2022.",
Which member of The Beatles was born first?,Ringo Starr,Ringo Starr was born first.,,"Ringo Starr (born July 7, 1940) was the first-born member of The Beatles.",,"Among the four core members of The Beatles, Ringo Starr (born July 7, 1940) was born first.",,"Ringo Starr, born July 7, 1940, was the first-born member of The Beatles.",
Who was the emperor of China when Sweet Dew incident happened?,Emperor Wenzong,Emperor Wenzong of the Tang Dynasty was the emperor of China when the Sweet Dew (Ganlu) Incident occurred.,,The emperor of China at the time of the Sweet Dew (Ganlu) Incident in 835 was Emperor Wenzong of Tang.,,Emperor Wenzong of the Tang dynasty (personal name Li Ang) was the emperor of China when the Sweet Dew (Ganlu) Incident occurred.,,Emperor Wenzong of Tang was the emperor of China at the time of the Sweet Dew (Ganlu) Incident in 835.,
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,The Livesey Hall War Memorial commemorates the fallen of World War II.,,It commemorates the fallen of World War II.,,The Livesey Hall War Memorial commemorates the fallen of World War II.,,World War II.,
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge""",The song was John Michael Montgomery’s “I Swear.”,,"Clay Walker’s “What’s It to You” was the song that sat behind the album’s third single, “Chattahoochee,” for two weeks on the country charts.",,"Brooks & Dunn’s “We’ll Burn That Bridge” was the song that sat behind Alan Jackson’s third single, “Chattahoochee,” for two weeks on the country charts.",,Brooks & Dunn’s “We’ll Burn That Bridge.”,
What officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880?,Treaty of Gandamak,"The Treaty of Gandamak, signed in May 1879, officially ended the first phase of the conflict.",,"The first phase officially ended with the Treaty of Gandamak, signed on 26 May 1879.",,"The Treaty of Gandamak, signed on 26 May 1879, officially ended the first phase of the Second Anglo-Afghan War.",,"The Treaty of Gandamak, signed on 26 May 1879, officially ended the first phase of the Second Anglo-Afghan War between the British Raj and the Emirate of Afghanistan.",
What 2017 Christopher B. Landon directed American slasher film is Jessica Rothe starring in?,Happy Death Day,Jessica Rothe stars in the 2017 Christopher B. Landon-directed American slasher film Happy Death Day.,,"Jessica Rothe stars in the 2017 American slasher film Happy Death Day, directed by Christopher B. Landon.",,The 2017 Christopher B. Landon-directed American slasher film starring Jessica Rothe is Happy Death Day.,,"Jessica Rothe stars in the 2017 American slasher film Happy Death Day, directed by Christopher B. Landon.",
"when was the album that includes the song by Dustin Lynch released to country radio on February 17, 2017?",8-Sep-17,"The album was released on September 8, 2017.",,"Dustin Lynch’s album Current Mood, which includes the single “Small Town Boy” sent to country radio on February 17, 2017, was released on September 8, 2017.",,"Dustin Lynch’s album Current Mood, which includes the single “Small Town Boy” sent to country radio on February 17, 2017, was released on September 8, 2017.",,"The album, Current Mood, was released on September 8, 2017.",
"Approximately how many locations is BJ's Wholesale Club operating in, as of early 2008?",650 locations,"As of early 2008, BJ’s Wholesale Club was operating in approximately 180 locations.",,"As of early 2008, BJ’s Wholesale Club operated approximately 180 locations.",,"As of early 2008, BJ’s Wholesale Club operated approximately 180 locations.",,"As of early 2008, BJ’s Wholesale Club operated approximately 180 locations.",
Padosan had a supporting actor who is known as a successful playback singer in what language?,Hindi,He is known as a successful playback singer in Hindi.,,Hindi.,,He is known as a successful playback singer in Hindi.,,He is known as a successful playback singer in Hindi.,
"What song by the American rapper Coolio is on his greatest hits album ""Fantiastic Voyage"" and samples from a Stevie Wonder song?",Gangsta's Paradise,The song is Gangsta’s Paradise.,,"Gangsta’s Paradise, which samples Stevie Wonder’s Pastime Paradise.",,"Coolio’s “Gangsta’s Paradise,” which samples Stevie Wonder’s “Pastime Paradise,” appears on his greatest hits compilation “Fantastic Voyage: The Greatest Hits.”",,Gangsta's Paradise.,
"When was the Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, born?",1932,He was born in 1932.,,"Ron Ayers, the Chief Aerodynamicist for the BLOODHOUND supersonic car project, was born on 16 March 1932.",,"Ron Ayers, the Chief Aerodynamicist for the Bloodhound SSC 1000 mph land-speed record project, was born in 1932.",,"Ron Ayers, the Chief Aerodynamicist for the British 1,000‑mph Bloodhound land-speed project, was born in 1932.",
The third emperor in the Year of the Four Emperors had how many wives? ,second,He had two wives.,,"Vitellius, the third emperor in the Year of the Four Emperors, had two wives.",,"Aulus Vitellius, the third emperor in the Year of the Four Emperors, had two wives.",,"Vitellius, the third emperor in the Year of the Four Emperors (69 CE), had two wives.",
Keanu is a 2016 American action comedy film directed by Peter Atencio and written by who?,Jordan Peele,It was written by Jordan Peele and Alex Rubens.,,It was written by Jordan Peele and Alex Rubens.,,It was written by Jordan Peele and Alex Rubens.,,It was written by Jordan Peele and Alex Rubens.,
Immanuel Lutheran School is affiliated with the denomination that has how many members?,2.1 million,The denomination has approximately 2.3 million members.,,Approximately 1.8 million members.,,"It is affiliated with the Lutheran Church—Missouri Synod, which has about 1.8 million members.",,"Immanuel Lutheran School is affiliated with the Lutheran Church—Missouri Synod, which has approximately 1.8 million baptized members.",
in the 2004 Hockey film produced by a former major league baseball pitcher who played the USA coach?,Kurt Russell,Kurt Russell played USA coach Herb Brooks.,,Kurt Russell portrayed Team USA coach Herb Brooks in the 2004 hockey film “Miracle” (produced by former MLB pitcher Mark Ciardi).,,"Kurt Russell played Herb Brooks, the USA coach, in the 2004 hockey film ""Miracle"" produced by former MLB pitcher Mark Ciardi.",,"In the 2004 hockey film ""Miracle,"" produced by former Major League Baseball pitcher Mark Ciardi, the USA coach Herb Brooks is played by Kurt Russell.",
Bethpage State Parkway begins with an interchange at which Long Island-based limited access highway?,Southern State Parkway,Bethpage State Parkway begins at an interchange with the Southern State Parkway.,,Bethpage State Parkway begins at an interchange with the Southern State Parkway.,,The Bethpage State Parkway begins at an interchange with the Southern State Parkway.,,Southern State Parkway.,
Psycho-physical Awareness was developed into an original and dependable method by a Russian-American actor who was referred to by Konstantin Stanislavski as what?,his most brilliant student,Konstantin Stanislavski referred to him as his most brilliant student.,,Konstantin Stanislavski referred to Michael Chekhov as his most brilliant student.,,Konstantin Stanislavski referred to him as his most brilliant student.,,Konstantin Stanislavski referred to the Russian‑American actor Michael Chekhov as his most brilliant student.,
"Who produced the 1998 British comedy starring the director of the feature film ""Eddie the Eagle""?",Matthew Vaughn,Matthew Vaughn produced it.,,"Matthew Vaughn produced the 1998 British comedy Lock, Stock and Two Smoking Barrels, which starred Dexter Fletcher—the director of Eddie the Eagle.",,"Matthew Vaughn produced the 1998 British comedy Lock, Stock and Two Smoking Barrels.",,Matthew Vaughn produced the film.,
Which show that premiered in May 2011 is hosted by someone with the birth name Richard Kirschner?,My Cat from Hell,I have no idea.,,"My Cat from Hell, which premiered in May 2011, is hosted by Jackson Galaxy, whose birth name is Richard Kirschner.",,"My Cat from Hell, hosted by Jackson Galaxy (born Richard Kirschner), premiered in May 2011.",,"My Cat from Hell, which premiered in May 2011, is hosted by Jackson Galaxy, whose birth name is Richard Kirschner.",
Li Yitong made her television debut on which network?,Dragon TV,Li Yitong made her television debut on Dragon TV.,,Li Yitong made her television debut on Dragon TV.,,Dragon TV (Shanghai Dragon Television).,,Li Yitong made her television debut on Dragon TV.,
Did the board game San Marco or About Time come out first?,San Marco,"San Marco came out first, in 2001, while About Time was released later, around 2004.",,"San Marco came out first (2001), while About Time was released later (commonly cited as 2004).",,"San Marco came out first—it was released in 2001, whereas About Time was first published in 2004.",,"San Marco, released in 2001, came out before About Time, which was first published in 2006.",
Are both Helen Dunmore and M. P. Shiel of West Indian descent?,no,"No; only M. P. Shiel is of West Indian descent, while Helen Dunmore was English.",,"No—M. P. Shiel was West Indian (born on Montserrat in the West Indies), whereas Helen Dunmore was English (born in Yorkshire) and not of West Indian descent.",,"No; only M. P. Shiel was of West Indian origin (born on Montserrat in the British West Indies), whereas Helen Dunmore was English, born in Yorkshire.",,"No—only M. P. Shiel, who was born in Montserrat in the British West Indies, was of West Indian origin, while Helen Dunmore was English and not of West Indian descent.",
Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium sized version of what animal?,duck,They are a medium-sized version of a swan.,,A swan.,,A swan.,,A swan.,
"The county that the community of Milltown, Montana is part of was founded in which year?",1860,"Missoula County, which includes Milltown, was founded in 1860.",,"Missoula County, which includes Milltown, Montana, was founded in 1860.",,"Missoula County, which includes Milltown, Montana, was founded in 1860.",,"Missoula County, which includes the community of Milltown, was founded in 1860.",
"""Aroma-scope"" used in Spy Kids 4 is reminiscent of what marketing gimmick used in Polyester in 1981?","""Odorama""",It was reminiscent of John Waters’ “Odorama” scratch-and-sniff card gimmick used to promote Polyester in 1981.,,"Odorama, the scratch‑and‑sniff card gimmick used for John Waters’s 1981 film Polyester.",,"Odorama, the scratch-and-sniff card gimmick used to promote John Waters’s 1981 film Polyester.",,Odorama—the scratch-and-sniff card gimmick used for John Waters’ 1981 film Polyester.,
Which star of Here Come the Munsters was born in Philadelphia ?,Veronica Hamel,"Veronica Hamel, who played Lily Munster in Here Come the Munsters, was born in Philadelphia.",,"Veronica Hamel, who played Lily Munster in the 1995 TV film Here Come the Munsters, was born in Philadelphia, Pennsylvania.",,"Veronica Hamel, who played Lily Munster in the 1995 TV movie Here Come the Munsters, was born in Philadelphia.",,"Veronica Hamel, who played Lily Munster in the 1995 TV film Here Come the Munsters, was born in Philadelphia.",
What occupation have Carly Gullickson and Francesca Schiavone both held?,professional tennis player.,Carly Gullickson and Francesca Schiavone have both been professional tennis players.,,Carly Gullickson and Francesca Schiavone have both been professional tennis players.,,Both Carly Gullickson and Francesca Schiavone have been professional tennis players.,,Both have been professional tennis players.,
What Andy Williams' album did a song written by Charles Wesley appear on?,The Andy Williams Christmas Album,It appeared on Andy Williams' album Merry Christmas.,,It appeared on Andy Williams’ 1965 album Merry Christmas.,,Andy Williams included the Charles Wesley hymn “Hark! The Herald Angels Sing” on his album Merry Christmas.,,It appeared on Andy Williams’ 1965 album Merry Christmas.,
Who co-wrote The Hidden History of the Human Race with a man know devotionally as Drutakarma dasa?,Richard L. Thompson,"Richard L. Thompson co-wrote The Hidden History of the Human Race with Michael A. Cremo, who is known devotionally as Drutakarma dasa.",,Richard L. Thompson.,,The co-author was Richard L. Thompson.,,Richard L. Thompson.,
What was the Volvo S70 essentially modeled after and was the first all wheel drive Volvo?,Volvo 850,"The Volvo S70 was essentially a facelifted Volvo 850, and the first all-wheel-drive Volvo was the 1997 V70 AWD (including the V70 XC Cross Country).",,"The Volvo S70 was essentially a thoroughly updated/facelifted Volvo 850 sedan, and Volvo’s first all-wheel-drive production model was the V70 AWD introduced in 1997, not the S70.",,"The Volvo S70 was essentially a facelifted version of the Volvo 850, and Volvo’s first factory all‑wheel‑drive passenger car was the 1997 V70 AWD (including the V70 XC/Cross Country).",,"The Volvo S70 was essentially a heavily updated version of the 850 sedan, and the first production Volvo with all-wheel drive was the 1997 V70 AWD (with the Cross Country/XC variant following for 1998).",
What Brooklyn-based rapper has worked with both Rafeal Casal and Mos Def?,Talib Kweli,The Brooklyn-based rapper who has worked with both Rafael Casal and Mos Def is Talib Kweli.,,Talib Kweli is the Brooklyn-based rapper who has worked with both Rafael Casal and Mos Def.,,Talib Kweli is the Brooklyn-based rapper who has worked with both Rafael Casal and Mos Def.,,Talib Kweli is the Brooklyn-based rapper who has worked with both Rafael Casal and Mos Def.,
"Which is longer, Hampshire and Hampden Canal or Tennessee-Tombigbee Waterway?",Tennessee-Tombigbee Waterway,The Tennessee-Tombigbee Waterway is longer.,,"The Tennessee-Tombigbee Waterway is longer, at about 234 miles (377 km), compared with the much shorter Hampshire and Hampden Canal.",,"The Tennessee–Tombigbee Waterway is longer, spanning about 234 miles (377 km), whereas the Hampshire and Hampden Canal was much shorter.",,The Tennessee–Tombigbee Waterway is longer than the Hampshire and Hampden Canal.,
"What band in the ""Art Wave"" scene is based in Glasgow?",Franz Ferdinand,"We Are the Physics is the band in the ""Art Wave"" scene that is based in Glasgow.",,"We Are the Physics is the Glasgow-based band in the ""Art Wave"" scene.",,"The Glasgow-based band in the ""Art Wave"" scene is We Are the Physics.",,"We Are the Physics is the Glasgow-based band in the ""Art Wave"" scene.",
Are Ash Lieb and Elswyth Thane both artists?,no,"No, Ash Lieb is an artist, but Elswyth Thane was a novelist, so they are not both artists.",,"No—Ash Lieb is an artist, but Elswyth Thane was an American novelist rather than a visual artist.",,"No; Elswyth Thane was an American novelist best known for the Williamsburg series, not a visual artist, so they are not both artists.",,"No; Ash Lieb is an artist, whereas Elswyth Thane was an American novelist.",
"Who was the writer of the graphic novel upon which the 2003 American superhero film, directed by Bryan Singer, is based?",Chris Claremont,The writer was Chris Claremont.,,The graphic novel was written by Chris Claremont.,,Chris Claremont wrote the graphic novel on which the 2003 Bryan Singer–directed film is based.,,Chris Claremont wrote the graphic novel on which Bryan Singer’s 2003 superhero film is based.,
Chuck Berry House was where the 1957 hit single that reached what ranking on the R&B singles chart was composed?,number 8,It reached number one on the R&B singles chart.,,It reached number 6 on the R&B singles chart.,,It reached No. 6 on the R&B singles chart.,,It reached No. 1 on the R&B singles chart.,
"What public service broadcaster with over 20,950 employees, aired the variety show Welsh Rarebit?",British Broadcasting Corporation (BBC),The variety show Welsh Rarebit was aired by the British Broadcasting Corporation (BBC).,,"The British Broadcasting Corporation (BBC), the UK public service broadcaster with over 20,950 employees, aired the variety show Welsh Rarebit.",,"The public service broadcaster with over 20,950 employees that aired the variety show Welsh Rarebit is the British Broadcasting Corporation (BBC).",,"Welsh Rarebit was aired by the BBC, the United Kingdom’s public service broadcaster that employs over 20,950 people.",
What Canadian filmmaker created a film about Bettie Page in 2005?,"Mary Harron (born January 12, 1953)","Mary Harron, a Canadian filmmaker, directed the 2005 biographical film about Bettie Page.",,"Mary Harron, a Canadian filmmaker, directed the 2005 film The Notorious Bettie Page.",,Canadian filmmaker Mary Harron directed the 2005 Bettie Page biopic The Notorious Bettie Page.,,Mary Harron directed the 2005 biographical film The Notorious Bettie Page about Bettie Page.,
Jean Hudson Boyd is known for her controversial sentencing of Ethan Couch. What was his sentence?,ten years of probation,She sentenced him to 10 years of probation with mandatory rehabilitation instead of prison.,,She sentenced Ethan Couch to 10 years of probation with mandatory inpatient rehabilitation and no prison time.,,She sentenced Ethan Couch to 10 years of probation with court‑ordered rehabilitation and no prison time.,,She sentenced him to 10 years’ probation and ordered long-term inpatient rehabilitation instead of any prison time.,
"The band who released the debut album ""Tinted Windows"" had their first performance in what city?",Tulsa,"Their first performance was in Austin, Texas.",,"They first performed in Austin, Texas.",,"Austin, Texas.",,"Their first performance was in Austin, Texas.",
"What is the nationality of the actor who was a leading man of MichÃ¨le Mercier and born on November 3, 1921?",American,The actor’s nationality is American.,,American.,,The actor was American.,,American.,
What items are used to play both Lapta and Rounders?,bat and ball,Both Lapta and Rounders are played with a bat and a ball.,,Both Lapta and Rounders are played with a bat and a ball.,,Both Lapta and Rounders are played with a bat and a ball.,,A bat and a ball are used in both Lapta and Rounders.,
"""I Wed Three Wives"" is an episode of a television series that ran on what network?",ABC,It ran on the Investigation Discovery network.,,Investigation Discovery.,,The series ran on the DuMont Television Network.,,Investigation Discovery.,
How big is the campus of the University that Ben Bahan is a professor at ?,99 acre campus,"The campus of Gallaudet University, where Ben Bahan is a professor, covers 99 acres.",,Gallaudet University—where Ben Bahan is a professor—has a campus of about 99 acres (approximately 0.40 square kilometers).,,"The campus of Gallaudet University, where Ben Bahan is a professor, covers 99 acres.",,"Gallaudet University, where Ben Bahan is a professor, has a 99-acre campus.",
