Question,Answer,base_response,,final_answer,token_cost,time_cost,recheck_hallucination
Sachem Central School District encompasses the CDPs that include the hamlet in which New York county?,Suffolk,"Sachem Central School District is located in Suffolk County, New York.",,"Sachem Central School District is located in Suffolk County, New York.",87,13.49861145,
What film did Tom Wu appear in that also starred Jason Statham and Ray Liotta? ,Revolver,"Tom Wu, Jason Statham, and Ray Liotta all appeared in the 2005 film *Revolver*.",,"Tom Wu, Jason Statham, and Ray Liotta all appeared in the 2005 film *Revolver*.",102,2.307557106,
The Gap band was from what neighbor hood that was known as the black wall street?,"Greenwood neighborhood in their hometown of Tulsa, Oklahoma","The Gap Band was from the Greenwood neighborhood of Tulsa, Oklahoma, which was known as the Black Wall Street.",,"The Gap Band was from the Greenwood neighborhood of Tulsa, Oklahoma, which was known as the Black Wall Street.",98,2.380815268,
"How many total staff (including part-time, flexible, and fixed contract staff) does the broadcaster, who released HyperNormalisation, employ?","35,402",I have no idea.,,"The BBC, which released HyperNormalisation, employs approximately 22,000 staff members.",88,2.342779398,
James Conlon directed the oldest outdoor Music Festival that is located and what state?,Illinois,"James Conlon directed the Caramoor Summer Music Festival, which is located in New York.",,"James Conlon directed the Caramoor Summer Music Festival, which is located in New York.",91,2.612896204,
"Who has a wider scope of profession, Hrag Vartanian or Hovsep Pushman?",Hrag Vartanian,"Hovsep Pushman has a wider scope of profession, being known as a painter, art collector, and rug merchant.",,"Hovsep Pushman has a wider scope of profession, being known as a painter, art collector, and rug merchant, while Hrag Vartanian is primarily known as an art critic, editor, and publisher.",126,2.452386856,
What is the english translation of the name of style of novel of which The Company is an example?,novel with a key,The English translation of the name of the style of novel of which The Company is an example is fantasy.,,The English translation of the name of the style of novel of which The Company is an example is fantasy.,99,2.669930935,
The Collection at RiverPark is anchored by Target and an American supermarket chain that features foods without what type of fat?,hydrogenated,The American supermarket chain that anchors The Collection at RiverPark features foods without artificial trans fats.,,The American supermarket chain that anchors The Collection at RiverPark features foods without artificial trans fats.,96,2.898632526,
How big is the campus of the University that Ben Bahan is a professor at ?,99 acre campus,"The campus of Gallaudet University, where Ben Bahan is a professor, is 99 acres.",,"The campus of Gallaudet University, where Ben Bahan is a professor, is 99 acres.",96,2.617538929,
"What is the pen name of author Carolyn Janice Cherry, who wrote the Fortress Series?","Carolyn Janice Cherry (born September 1, 1942), better known by the pen name C. J. Cherryh,",The pen name of author Carolyn Janice Cherry is C. J. Cherryh.,,"The pen name of author Carolyn Janice Cherry, who wrote the Fortress Series, is C. J. Cherryh.",96,2.441404343,
"Father Jean-Pierre Aulneau de le Touche was killed before he could go on an expedition to Mandan, which is located in which state? ",North Dakota,Mandan is located in North Dakota.,,Mandan is located in North Dakota.,85,3.090564489,
Australian National Airways was founded by the person who made the first what in 1928?,trans-Pacific flight,Australian National Airways was founded by the person who made the first flight across the Pacific Ocean in 1928.,,"Australian National Airways was founded by Charles Kingsford Smith, who made the first flight across the Pacific Ocean in 1928.",102,2.564132929,
"What phone series serves as the successor to phones officially unveiled at the ""Samsung Unpacked 2015"" event?",The S7 series,"The Samsung Galaxy S7 and S7 Edge series serves as the successor to phones officially unveiled at the ""Samsung Unpacked 2015"" event.",,"The Samsung Galaxy S7 and S7 Edge series serves as the successor to phones officially unveiled at the ""Samsung Unpacked 2015"" event.",120,2.130088568,
Are Yoo-hoo and Faygo both carbonated drinks?,no,"No, Faygo is carbonated but Yoo-hoo is not.",,"No, Faygo is carbonated, but Yoo-hoo is not.",81,2.606997252,
"Who stared as the ""father of the atomic bomb"" in a 1980 television miniseries?",Sam Waterston,"Sam Waterston starred as J. Robert Oppenheimer, the ""father of the atomic bomb,"" in the 1980 television miniseries *Oppenheimer*.",,"Sam Waterston starred as J. Robert Oppenheimer, the ""father of the atomic bomb,"" in the 1980 television miniseries *Oppenheimer*.",126,3.76799798,
Graham Linehan was the creator of the Ash Atalla-produced sitcom for what UK channel?,Channel 4,"Graham Linehan was the creator of the Ash Atalla-produced sitcom, The IT Crowd, for Channel 4.",,"Graham Linehan was the creator of the Ash Atalla-produced sitcom, The IT Crowd, for Channel 4.",102,1.822972775,
"Thomas Maclellan of Bombie was Provost of what town, as well as constructing MacLellan's Castle in the center of that town?","Kirkcudbright, southwest Scotland","Thomas Maclellan of Bombie was Provost of Kirkcudbright, where he also constructed MacLellan's Castle.",,"Thomas Maclellan of Bombie was Provost of Kirkcudbright, where he also constructed MacLellan's Castle.",122,2.460289001,
What profession does Leonty Magnitsky and Leonid Khachiyan have in common?,mathematician,Leonty Magnitsky was a mathematician and Leonid Khachiyan was a mathematician.,,Leonty Magnitsky and Leonid Khachiyan were both mathematicians.,94,35.42428946,
"What country does Salmonby and Somersby, Lincolnshire have in common?",England,"The country that Salmonby and Somersby, Lincolnshire have in common is England.",,"The country that Salmonby and Somersby, Lincolnshire have in common is England.",89,2.414666176,
What was need in order to diverge from the chinese ritual uniting spouses by pre-arrangement between families?,constant support from propaganda campaigns,"The rise of individual agency, economic independence, and changing social norms, often influenced by Western ideas in later periods, were needed to diverge from the Chinese ritual of pre-arranged marriages.",,"Divergence from the Chinese ritual of uniting spouses by pre-arrangement between families required the rise of individual agency, economic independence, and evolving social norms, often influenced by Western ideas.",138,2.03764987,
" ""Hold On"" is a song that features the vocals of a British singer whose debut album won what prize in 2017?",Mercury Prize,I have no idea.,,"The British singer whose debut album won the Mercury Prize in 2017 and features on the song ""Hold On"" is Sampha.",96,2.645421505,
"Kacha, Sevastopol is a settlement that is part of a sovereign state bordered on the northwest by which country?",Belarus,The country bordering Russia on the northwest is Finland.,,The country bordering Russia on the northwest is Finland.,84,2.597101212,
Author David Chanoff has collaborated with a U.S. Navy admiral who served as the ambassador to the United Kingdom under which President?,Bill Clinton,The U.S. Navy admiral David Chanoff collaborated with served as the ambassador to the United Kingdom under President Ronald Reagan.,,The U.S. Navy admiral David Chanoff collaborated with served as the ambassador to the United Kingdom under President Ronald Reagan.,114,2.165744305,
"1995's ""Highest paid model"" according to Forbes played a what in the film ""Fair Game""?",family law attorney,"Cindy Crawford played attorney Kate McQuean in the film ""Fair Game.""",,"Cindy Crawford, the highest-paid model of 1995 according to Forbes, played attorney Kate McQuean in the film ""Fair Game.""",103,2.712377548,
Heath Ledger Australian actor was in the movie Brokeback Mountain directed by who?,Ang Lee,"The movie Brokeback Mountain, starring Heath Ledger, was directed by Ang Lee.",,"The movie Brokeback Mountain, starring Heath Ledger, was directed by Ang Lee.",87,1.867084026,
"Which composer was born later, Gaetano Donizetti or William Walton?",William Turner Walton,William Walton was born later than Gaetano Donizetti.,,William Walton was born later than Gaetano Donizetti.,79,2.276098013,
What wrestling team is Mathew Thomas Rehwoldt a part of?,The Vaudevillains,Mathew Thomas Rehwoldt is currently part of the Impact Wrestling commentary team.,,Mathew Thomas Rehwoldt is currently part of the Impact Wrestling commentary team.,83,2.785061836,
"Which of these is a genus of flowering plants, Anemopaegma or Semele?",Anemopaegma,Anemopaegma is a genus of flowering plants.,,Anemopaegma is a genus of flowering plants.,81,2.31911087,
"Which is located in Cornwall, Southwell Minster or Truro Cathedral?","The Cathedral of the Blessed Virgin Mary, Truro",Truro Cathedral is located in Cornwall.,,Truro Cathedral is located in Cornwall.,68,9.116979361,
"Which director was from a country closer to Canada, J. Searle Dawley or Lionel Ngakane?",James Searle Dawley,J. Searle Dawley was from a country closer to Canada.,,J. Searle Dawley was from a country closer to Canada.,90,3.40930295,
Who was born first Iain Pears or Richard Llewellyn ?,Richard Dafydd Vivian Llewellyn,Richard Llewellyn was born first.,,Richard Llewellyn was born first.,70,4.021521807,
"What time did the show, in which Gordon Burns was the host, usually air on Monday?",7pm,"*The Krypton Factor*, hosted by Gordon Burns, usually aired at 7:00 PM on Monday evenings.",,The show hosted by Gordon Burns usually aired at 7:00 PM on Monday evenings.,97,3.018008947,
What is the name the Columbian film loosely based on a story about a dying child's dreams and hope first published in 1845 by Hans Christian Andersen?,The Little Match Girl,"The name of the Colombian film loosely based on Hans Christian Andersen's ""The Little Match Girl"" is *The Colors of the Mountain*.",,"The name of the Colombian film loosely based on Hans Christian Andersen's ""The Little Match Girl"" is *The Colors of the Mountain*.",123,2.128774643,
What kind of film was the film who featured Auli'i Cravalho?,3D computer-animated musical fantasy-adventure film,The film that featured Auli'i Cravalho was an animated musical fantasy adventure.,,The film that featured Auli'i Cravalho was an animated musical fantasy adventure.,87,1.726655722,
Who starred in Smurfs: The Lost Village and was also in The Office?,Ellie Kemper,Rainn Wilson starred in Smurfs: The Lost Village and was also in The Office.,,Rainn Wilson starred in Smurfs: The Lost Village and was also in The Office.,92,2.529388428,
Daburiyya is 8km east of a city where where percentage of its citizens are Christian?,30.90%,"Daburiyya is 8km east of Nazareth, where approximately 30% of its citizens are Christian.",,"Daburiyya is 8km east of Nazareth, where approximately 30% of its citizens are Christian.",109,2.188196659,
"Who lived longer, Tony Richardson or Giorgio Ferroni?",Giorgio Ferroni,Tony Richardson lived longer than Giorgio Ferroni.,,Giorgio Ferroni lived longer than Tony Richardson.,72,2.72917819,
The uncle of Paul Capellani died at a military operation during a battle was fought between who?,the Allies and Nazi Germany,The battle was fought between the French and German forces.,,The battle was fought between the French and German forces.,79,2.591742277,
Armand Castelmary played Horatio in the 1868 version of the opera set to a play by whom?,William Shakespeare,Armand Castelmary played Horatio in the 1868 version of the opera set to a play by William Shakespeare.,,Armand Castelmary played Horatio in the 1868 version of the opera set to a play by William Shakespeare.,111,2.697162151,
The first person to reach both poles named a glacier after which person? ,the daughter of Fridtjof Nansen.,"Robert Swan, the first person to reach both poles, named a glacier after his grandfather, Captain Frank Worsley.",,"Robert Swan, the first person to reach both poles, named a glacier after his grandfather, Captain Frank Worsley.",100,2.280841112,
Have Jelena Janković and Marat Safin both played tennis professionally?,yes,"Yes, Jelena Janković and Marat Safin have both played tennis professionally.",,"Yes, Jelena Janković and Marat Safin have both played tennis professionally.",95,2.680197954,
What is the birth name of Nadeem Siddique's favorite boxer?,Walker Smith Jr.,I have no idea.,,I cannot answer this question as I do not have access to information about Nadeem Siddique's personal preferences or his favorite boxer.,84,2.935148001,
What movie genre did Emmanuelle Vaugier play a supporting role in?,satirical erotic romantic comedy,"Emmanuelle Vaugier played supporting roles in various movie genres, including horror, action, and comedy.",,"Emmanuelle Vaugier played supporting roles in horror, action, and comedy movie genres.",94,2.015505791,
In which war was the Meuse-Argonne Offensive executed?,World War I.,The Meuse-Argonne Offensive was executed in World War I.,,The Meuse-Argonne Offensive was executed in World War I.,78,2.027160168,
"Which of Aaron Goodwin client was born in May 31, 1984?",Nate Robinson,I have no idea.,,"Aaron Goodwin's client, Nate Robinson, was born on May 31, 1984.",79,3.199063301,
In which part of New York was the singer who released the song No Problem raised ?,Harlem,"The singer who released the song ""No Problem"" was raised in Chicago, Illinois, not New York.",,"The singer who released the song ""No Problem"" was raised in Chicago, Illinois, not in New York.",97,7.112297535,
"Which TV series directed and written by the same person as ""Buffy the Vampire Slayer"" starred Tahmoh Penikett?",Dollhouse,The TV series directed and written by Joss Whedon that starred Tahmoh Penikett is *Dollhouse*.,,The TV series directed and written by Joss Whedon that starred Tahmoh Penikett is *Dollhouse*.,115,9.434062958,
"What was the significance of the lions, about whom a fictionalized account provided the basis of the film, The Ghost and the Darkness?",their unusual behavior,"The lions were significant for being the Tsavo Man-Eaters, responsible for killing and devouring a record number of railway workers during the construction of a bridge in Tsavo, British East Africa, in 1898.",,"The lions were significant for being the Tsavo Man-Eaters, responsible for killing and devouring a record number of railway workers during the construction of a bridge in Tsavo, British East Africa, in 1898.",152,2.120133877,
What exit of Garden State Parkway should you take in order to get to the Seacourt Pavilion?,Exit 82,"To get to the Seacourt Pavilion, you should take Garden State Parkway Exit 91.",,"To get to the Seacourt Pavilion, you should take Garden State Parkway Exit 91.",95,8.255280495,
Are both Jack and Coke and Clover Club Cocktail cocktails?,yes,"Yes, both Jack and Coke and Clover Club Cocktail are cocktails.",,"Yes, both Jack and Coke and Clover Club Cocktail are cocktails.",74,2.115464926,
Are either Edward H. Griffith or Edward Burns from Germany?,no,Neither Edward H. Griffith nor Edward Burns are from Germany.,,Neither Edward H. Griffith nor Edward Burns are from Germany.,73,2.470089912,
What is Peter Daou's website's slogan?,"""media for the 65.8 million,""","Peter Daou's website slogan is ""Journalism without fear or favor.""",,"Peter Daou's website slogan is ""Journalism without fear or favor.""",77,2.792346954,
The 43d Air Mobility Operations Group is stationed at which largest military installation?,Fort Bragg,"The 43d Air Mobility Operations Group is stationed at Pope Field, which is part of Fort Liberty.",,"The 43d Air Mobility Operations Group is stationed at Pope Field, which is part of Fort Liberty, the largest military installation by population in the world.",105,2.328886509,
" During what years did the railroad that had a station stop in Ringling, Montana operate?",from 1847 until 1980,"The railroad that had a station stop in Ringling, Montana was the Chicago, Milwaukee, St. Paul and Pacific Railroad (the Milwaukee Road), which operated its transcontinental line from 1909 until 1980.",,"The railroad that had a station stop in Ringling, Montana operated from 1909 until 1980.",122,2.488054037,
"William Sidney Sid Hatfield was the Police Chief of Matewan, West Virginia during a shootout between local coal miners and the Baldwin-Felts Detective Agency that is referred to as what?",Battle of Matewan,"The shootout between local coal miners and the Baldwin-Felts Detective Agency in Matewan, West Virginia, with William Sidney Sid Hatfield as Police Chief, is referred to as the Matewan Massacre.",,"The shootout between local coal miners and the Baldwin-Felts Detective Agency in Matewan, West Virginia, with William Sidney Sid Hatfield as Police Chief, is referred to as the Matewan Massacre.",153,49.81573963,
"Which American musician, principally known for his work as guitarist, vocalist and songwriter released the Voice Of Reason album?",Robert Arthur Mould,I have no idea.,,"The American musician principally known for his work as guitarist, vocalist, and songwriter who released the ""Voice Of Reason"" album is Eric Clapton.",94,3.512061834,
"What is the nationality of this actor, film producer and musician who has lived most of his life in Australia and appeared in Romper Stomper alongside Daniel Pollock, Jacqueline McKenzie and Tony Lee?",New Zealand citizen,Russell Crowe is a New Zealand national.,,"Russell Crowe, the actor, film producer, and musician who has lived most of his life in Australia and appeared in Romper Stomper, is a New Zealand national.",123,2.479179859,
which persons private jet called Trump Force One which is built by Boeing Commercial Airplanes and is the manufacturer's largest single aisle passenger aircraft that is produced from 1981 to 2004?,Donald J. Trump's private jet,"Donald Trump's private jet is called Trump Force One, but the Boeing 757-200 he owns is not the manufacturer's largest single-aisle passenger aircraft, nor was it built by Boeing Commercial Airplanes as the manufacturer's largest single-aisle passenger aircraft; it is a modified Boeing 757.",,"Donald Trump's private jet is called Trump Force One, which is a modified Boeing 757-200, a model built by Boeing Commercial Airplanes and produced from 1981 to 2004, though it is not the manufacturer's largest single-aisle passenger aircraft.",192,2.332106113,
What group did the 253 West 125th Street-contest winner Spyder Turner sing back up for?,The Stereophonics and The Fabulous Counts,"Spyder Turner did not sing backup for a group as the 253 West 125th Street contest winner; he was the contest winner himself, known for his solo career and recording for Motown.",,"Spyder Turner did not sing backup for a group as the 253 West 125th Street contest winner; he was the contest winner himself, known for his solo career and recording for Motown.",139,3.107312441,
"What is the character's name for which Anna Leonidovna Kovalchuk won a prize in the legal festival ""Law and Society""?",Chief Detective Maria Shvetsova,I have no idea.,,"Anna Leonidovna Kovalchuk won a prize at the legal festival ""Law and Society"" for her role as Maria Sergeevna Shvetsova.",105,2.906894445,
What is the estimated population of the city in which the suburb of Beaumont is located ?,"44,300",I have no idea.,,"The suburb of Beaumont is located in Adelaide, Australia, which has an estimated population of approximately 1.3 million people.",86,2.366381645,
The 2003 South Australian National Football League Grand Final saw the Central District Bulldogs defeat a football club whose home base is currently known as what?,City Mazda Stadium,Alberton Oval.,,"The football club defeated by the Central District Bulldogs in the 2003 SANFL Grand Final was Port Adelaide, whose home base is currently known as Alberton Oval.",103,2.464901924,
What was the nationality of the composer of Chaconne in F minor?,German,"The composer of Chaconne in F minor, Johann Pachelbel, was German.",,"The composer of Chaconne in F minor, Johann Pachelbel, was German.",88,2.474166155,
In what year was the college that Cal Hovde served as dean for founded?,1754,"The college that Cal Hovde served as dean for, Columbia University, was founded in 1754.",,The college that Cal Hovde served as dean for was founded in 1754.,94,8.069717169,
Which constituent college of the University of Oxford in England was Francis Leighton warden of?,"All Souls College, Oxford","Francis Leighton was warden of All Souls College, Oxford.",,"Francis Leighton was warden of All Souls College, Oxford.",82,2.57525444,
What is  Cyaxares relationship to the man that governed for 53 years?,r grandfather <a hr,"Cyaxares' relationship to the man who governed for 53 years is unknown, as the identity of the long-governing man is not specified.",,The relationship between Cyaxares and the man who governed for 53 years is unknown because the identity of the long-governing man is not specified in the question.,119,3.863001108,
 Are Finding Kraftland and Shikashika both frozen drinks?,Shikashika is a shaved ice drink,"No, Finding Kraftland is a documentary film and Shikashika is a Japanese chilled dessert.",,"No, Finding Kraftland is a documentary film and Shikashika is a Japanese chilled dessert, neither of which are frozen drinks.",98,2.557574749,
Are Toshi and Warrel Dane both in the band Sanctuary?,no,"No, Toshi was not in the band Sanctuary with Warrel Dane.",,"No, Toshi was not in the band Sanctuary with Warrel Dane.",80,3.646408319,
Which of the cities of Dujiangyan City and Ezhou has the larger population according to their latest census ?,Ezhou,"According to their latest census data, Ezhou has a larger population than Dujiangyan City.",,"According to their latest census data, Ezhou has a larger population than Dujiangyan City.",97,2.694049358,
"Who was the  ""King of Denmark, the Vends and the Goths, elected King of Norway's"" brother?",king John of Denmark,"The brother of the ""King of Denmark, the Vends and the Goths, elected King of Norway"" was Prince Frederick of Denmark.",,"The brother of the ""King of Denmark, the Vends and the Goths, elected King of Norway"" (Christian IV) was Prince Ulrik of Denmark.",123,1.885957241,
What contest did Drew Barry's younger brother win in 1996?,the 1996 NBA Slam Dunk Contest,I have no idea.,,"Drew Barrymore does not have a younger brother, and therefore, no contest was won by a younger brother of hers in 1996.",85,2.338183165,
where is a  football club which Aly Mohamed play for from ,United Arab Emirates,"Aly Mohamed plays for Baladeyet El Mahalla, which is a football club from El Mahalla El Kubra, Egypt.",,"Aly Mohamed plays for Baladeyet El Mahalla, a football club from El Mahalla El Kubra, Egypt.",101,10.48453188,
Raiffeisen Zentralbank is the central institution of one a group of co-operative banks in Austria. What is the name of the other group?,Austrian Volksbanks,The other group of co-operative banks in Austria is the Volksbanken-Verbund.,,The other group of co-operative banks in Austria is the Volksbanken-Verbund.,105,2.336868763,
"In which year did this Russian actress  who produced and performed in the 1922 American silent drama film ""A Doll's House"" immigrate to the United States?",1905,"Alla Nazimova, the Russian actress who produced and performed in the 1922 American silent drama film ""A Doll's House,"" immigrated to the United States in 1905.",,"Alla Nazimova, the Russian actress who produced and performed in the 1922 American silent drama film ""A Doll's House,"" immigrated to the United States in 1905.",148,2.707693577,
" the movie ""A Cure for Wellness"" was a science fiction?",is a 2016 science fiction psychological horror,"No, the movie ""A Cure for Wellness"" was a psychological horror and thriller film.",,"No, the movie ""A Cure for Wellness"" is primarily categorized as a psychological horror and thriller film.",90,2.776797533,
What position did the 2004 World Series of Poker gold bracelet holder have in the 2011 Epic Poker League?,Commissioner,"Greg Raymer, the 2004 World Series of Poker gold bracelet holder, was a member of the Epic Poker League Players' Council in 2011.",,"The 2004 World Series of Poker gold bracelet holder, Greg Raymer, was a member of the Epic Poker League Players' Council in 2011.",125,3.050379038,
"Which band has more members, Chvrches or Goodbye Mr. Mackenzie?",Goodbye Mr Mackenzie,"Chvrches has 3 members, while Goodbye Mr. Mackenzie had 6 members.",,Goodbye Mr. Mackenzie has more members than Chvrches.,88,2.498558998,
"What major landform lended its name to both the Blue Ridge Music Center, and American's longest linear park?",469 mi,"The Blue Ridge Mountains lended their name to both the Blue Ridge Music Center and America's longest linear park, the Blue Ridge Parkway.",,"The Blue Ridge Mountains lent their name to both the Blue Ridge Music Center and America's longest linear park, the Blue Ridge Parkway.",113,2.487085819,
What two occupations did Scott Weiland and Richard Hawley have in common?,singer and songwriter,Scott Weiland and Richard Hawley both worked as a singer and a songwriter.,,Scott Weiland and Richard Hawley both worked as a singer and a songwriter.,84,2.201967478,
Who is older Charles R. Black Jr. or Paul Manafort?,Charles R. Black Jr.,Paul Manafort is older than Charles R. Black Jr.,,"Paul Manafort was born on April 1, 1949, and Charles R. Black Jr. was born on October 23, 1947, making Charles R. Black Jr. older than Paul Manafort.",104,2.990276098,
What university did the winner of the 2014 CFL's Most Outstanding Defensive Player Award attend?,University of Hawaii at Manoa,"Charleston Hughes, the winner of the 2014 CFL's Most Outstanding Defensive Player Award, attended the University of Northwood.",,"Charleston Hughes, the winner of the 2014 CFL's Most Outstanding Defensive Player Award, attended the University of Northwood.",107,86.82384014,
Sony/Philips Digital Interface Format can transmit over what Toshiba optical fiber connector system?,"TOSLINK (from ""Toshiba Link"") is a standardized optical fiber connector system.",Sony/Philips Digital Interface Format (SPDIF) can transmit over the TOSLINK Toshiba optical fiber connector system.,,Sony/Philips Digital Interface Format (SPDIF) can transmit over the TOSLINK Toshiba optical fiber connector system.,104,1.816193104,
Sadok Sassi played for a national team that made its first World Cup in what year?,1978,Sadok Sassi played for a national team that made its first World Cup in 1978.,,"Sadok Sassi played for the Tunisian national team, which made its first World Cup appearance in 1978.",100,2.056529999,
Who was born first Garo Yepremian or Michael Casey ?,"""Garo"" Yepremian",Garo Yepremian was born first.,,"Garo Yepremian was born on December 2, 1944, while Michael Casey was born on October 15, 1949, making Garo Yepremian the one born first.",100,2.47672534,
Grigori 3's music is commonly compared to an American rock band founded in what year?,1995,Grigori 3's music is commonly compared to an American rock band founded in 1991.,,Grigori 3's music is commonly compared to an American rock band founded in 1991.,99,6.475526094,
"Kung Fu Magoo is a Mexican-American animated action comedy film with an English voice cast star best known for her roll as what in ""Naruto""? ",Naruto Uzumaki,"Mae Whitman, known for her role as Katara in ""Avatar: The Last Airbender"".",,"The English voice cast star of Kung Fu Magoo, Mae Whitman, is not known for a role in ""Naruto.""",119,3.111580372,
Nikhil Nanda is the son of the insurance advisor in what business?,life insurance,Nikhil Nanda is the son of the insurance advisor in the Escorts Group business.,,Nikhil Nanda is the son of the insurance advisor in the Escorts Group business.,87,2.502441645,
What year did a Russian soprano opera singer born in October 1926 leave Russia with her cellist husband and daughter?,1974,"Galina Vishnevskaya, her cellist husband Mstislav Rostropovich, and their daughter left Russia in 1974.",,"Galina Vishnevskaya, her cellist husband Mstislav Rostropovich, and their daughter left Russia in 1974.",122,3.176119328,
"A play that was first performed on February 16th, 1728, at the Theatre Royal, was written by an English novelist who was also the author of what novel?",Tom Jones,"The author of the play also wrote *The History of Tom Jones, a Foundling*.",,"The author of the play first performed on February 16th, 1728, at the Theatre Royal, also wrote *The History of Tom Jones, a Foundling*.",126,2.610703468,
Alhambra and Tsuro are both examples of what type of game?,tile-based board game,Alhambra and Tsuro are both examples of board games.,,Alhambra and Tsuro are both examples of board games.,81,1.947438002,
"What NFL Team, undefeated in 1972, had on their staff the coach of the 2004 Florida Atlantic Owls football team?",Miami Dolphins,"The undefeated 1972 Miami Dolphins had Don Shula, the coach of the 2004 Florida Atlantic Owls football team, on their staff.",,"The undefeated 1972 Miami Dolphins had Don Shula, who was the coach of the 2004 Florida Atlantic Owls football team, on their staff.",127,2.62851429,
What year did Fifty Shades of Grey release?,2011,Fifty Shades of Grey was released in 2011.,,"The novel ""Fifty Shades of Grey"" was released in 2011.",73,2.240191221,
"Which band had more members, Semisonic or Cake?",Cake,Cake had more members than Semisonic.,,Cake had more members than Semisonic.,67,39.97245407,
Who is writing a book about the Koch family who control the second-largest privately owned company in the United States?,Jane Mayer,Christopher Leonard is writing a book about the Koch family.,,"Christopher Leonard is writing a book about the Koch family, who control the second-largest privately owned company in the United States.",94,3.04155159,
"The debut album came out in 1988 but what year did the song ""She's My Baby"" come out in?",1990,"The song ""She's My Baby"" came out in 1994.",,"The song ""She's My Baby"" came out in 1994.",92,2.532195091,
"El Chavo is a video game published by Slang Publishing, that was based on what Mexican animated series that was based on another TV series created by Roberto Gomez Bolanos?",El Chavo Animado,"El Chavo, the video game published by Slang Publishing, was based on the Mexican animated series *El Chavo Animado*, which in turn was based on the TV series *El Chavo del Ocho* created by Roberto Gómez Bolaños.",,"El Chavo, the video game published by Slang Publishing, was based on the Mexican animated series *El Chavo Animado*.",153,3.094357491,
Who was soldier Archie A. Peck's commanding officer during the Meuse-Argonne Offensive?,Major Charles White Whittlesey,"Archie A. Peck's commanding officer during the Meuse-Argonne Offensive would have depended on his specific company and battalion within the 306th Machine Gun Battalion, 77th Division.",,"Archie A. Peck's commanding officer during the Meuse-Argonne Offensive was Captain George B. Wilson, who commanded Company D of the 306th Machine Gun Battalion.",133,3.391967773,
"Who has won more literary awards, Annie Dillard or Gabriel García Márquez?",Gabriel José de la Concordia García Márquez,Gabriel García Márquez has won more literary awards than Annie Dillard.,,Gabriel García Márquez has won more literary awards than Annie Dillard.,85,3.602278471,
Were The Living Desert and What Would Jesus Buy? directed by the same person?,no,"No, *The Living Desert* was directed by James Algar and *What Would Jesus Buy?* was directed by Rob VanAlkemade.",,"No, *The Living Desert* was directed by James Algar and *What Would Jesus Buy?* was directed by Rob VanAlkemade.",113,2.392893314,
"Does Jimmy Barnes have more hits, both solo and in a group, than Yang Seung-ho has with his group?",yes,"Yes, Jimmy Barnes has significantly more hits both solo and with Cold Chisel than Yang Seung-ho has with his group.",,"Yes, Jimmy Barnes has significantly more hits both solo and with Cold Chisel than Yang Seung-ho has with MBLAQ.",115,2.166775227,
Which publisher produced the comic books featuring both Spider-Man and the Daredevils?,Marvel,Marvel Comics produced the comic books featuring both Spider-Man and Daredevil.,,Marvel Comics produced the comic books featuring both Spider-Man and Daredevil.,81,3.201652288,
What university did Bill Daly graduate that Gary Bettman also graduated from?,New York University School of Law,"Bill Daly did not graduate from the same university as Gary Bettman; Bill Daly graduated from Boston College, while Gary Bettman graduated from Cornell University.",,"Bill Daly did not graduate from the same university as Gary Bettman, as Bill Daly graduated from Boston College and Gary Bettman graduated from Cornell University.",111,2.223742247,
Ellesmere Port Town Football Club are currently members of what English football league whose current principal sponsor is Carlsberg?,West Cheshire Association Football League,Ellesmere Port Town Football Club are currently members of the North West Counties Football League.,,"Ellesmere Port Town Football Club are currently members of the North West Counties Football League, which is not sponsored by Carlsberg.",106,3.656314135,
What is the middle name of the former Stanford Cardinals player who caught 57 passes for 1010 yards and 14 TDs?,David,The middle name of the former Stanford Cardinals player who caught 57 passes for 1010 yards and 14 TDs is Darnell.,,The middle name of the former Stanford Cardinals player who caught 57 passes for 1010 yards and 14 TDs is Darnell.,122,2.459280968,
Who was the secretary to the Winter Queen?,Sir Francis Nethersole,Sir Adam Newton was the secretary to the Winter Queen.,,Sir Adam Newton was the secretary to the Winter Queen.,68,4.979357004,
Triangle Brewing Company was started by a founder who had experience as what non-commercial alcohol producer?,homebrewer,Triangle Brewing Company was started by a founder who had experience as a homebrewer.,,Triangle Brewing Company was started by a founder who had experience as a homebrewer.,89,2.231115103,
What is the legal name of Johnny Campbell's hometown?,Londonderry,The legal name of Johnny Campbell's hometown is Glasgow.,,The legal name of Johnny Campbell's hometown is Glasgow.,70,3.064825535,
Tom Thumb Food & Pharmacy is part of the southern division of a grocery company based in what city?,Boise,"Tom Thumb Food & Pharmacy is part of the southern division of a grocery company based in Boise, Idaho.",,"Tom Thumb Food & Pharmacy is part of the southern division of a grocery company based in Boise, Idaho.",99,2.658943892,
Where is stadium that was named after Rodney Cline Carew?,Panama City,"The stadium named after Rodney Cline Carew is in Anaheim, California.",,"The stadium named after Rodney Cline Carew is in Anaheim, California.",80,2.423889875,
Why is Bangor Daily News talkin about Sawin Millett?,Commissioner by the Maine Senate,"Bangor Daily News is talking about Sawin Millett because he is a Maine state representative and his political actions, statements, or legislative activities are newsworthy for the regional newspaper.",,"Bangor Daily News is talking about Sawin Millett because he is a Maine state representative whose political actions, statements, or legislative activities, such as his recent involvement in budget discussions or committee work, are newsworthy for the regional newspaper.",137,3.915926933,
