Question,Answer,base_response,is_hallucination,final_answer,token_cost,time_cost,recheck_hallucination,,,
What was the real name of the author George Eliot?,Mary Ann Evans,The real name of the author George Eliot was Mary Ann Evans.,NO,The real name of the author George Eliot was Mary Ann Evans.,77,2.044544458,NO,,,
Where is Gil Evans from?,"Toronto, Canada","Gil Evans was from Toronto, Ontario, Canada.",NO,"Gil Evans was from Toronto, Ontario, Canada.",63,2.796004534,NO,,,
Who is the director of the movie The Room?,Tommy Wiseau,Tommy Wiseau is the director of the movie The Room.,NO,Tommy Wiseau is the director of the movie The Room.,72,3.506238461,NO,,,
How many years did the Hundred Years' War last?,116 years,The Hundred Years' War lasted for 116 years.,NO,The Hundred Years' War lasted for 116 years.,70,1.96600008,NO,,,
On which side do people stand on the escalator in Tokyo?,left,"In Tokyo, people stand on the left side of the escalator.",NO,"In Tokyo, people stand on the left side of the escalator.",78,17.24835134,NO,,,
In which month does the Japanese school year start?,April,The Japanese school year starts in April.,NO,The Japanese school year starts in April.,63,1.979717016,NO,,,
Who was the first football player to score one hundred international goals?,Ali Daei,Ali Daei was the first football player to score one hundred international goals.,NO,Ali Daei was indeed the first football player to score one hundred international goals.,83,2.53100419,NO,,,
In which municipality did Typhoon Haiyan make its first eye landfall?,"Guiuan, Eastern Samar","Typhoon Haiyan made its first eye landfall in Guiuan, Eastern Samar.",NO,"Typhoon Haiyan made its first eye landfall in Guiuan, Eastern Samar.",86,2.355728149,NO,,,
"What time of day on August 15, 1947 did India become an independent nation?",12:02 AM,"India became an independent nation at midnight on August 15, 1947.",NO,"India became an independent nation at midnight on August 15, 1947.",88,2.044325113,NO,,,
Where was Emily Joanna Carey born?,Barnet,"Emily Joanna Carey was born in London, England.",YES,"Emily Joanna Carey was born in London, England.",64,2.749195814,YES,,,
"Along with streptococcus thermophilus, what other bacteria is used to make Bulgarian yogurt?",Lactobacillus bulgaricus,"Along with Streptococcus thermophilus, Lactobacillus bulgaricus is the other bacteria used to make Bulgarian yogurt.",NO,"Along with Streptococcus thermophilus, Lactobacillus bulgaricus is the other bacteria used to make Bulgarian yogurt.",113,1.883731842,NO,,,
When did Blackpink make their debut?,2016,"Blackpink made their debut on August 8, 2016.",NO,"Blackpink made their debut on August 8, 2016.",73,2.496137381,NO,,,
Which company developed Overwatch?,Blizzard Entertainment,Blizzard Entertainment developed Overwatch.,NO,Blizzard Entertainment developed Overwatch.,53,2.098456383,NO,,,
What is the heaviest reptile in the world?,saltwater crocodile,The heaviest reptile in the world is the saltwater crocodile.,NO,The heaviest reptile in the world is the saltwater crocodile.,78,2.820868492,NO,,,
Who first proposed the idea that all matter exhibits wave-particle duality?,Louis de Broglie,Louis de Broglie first proposed the idea that all matter exhibits wave-particle duality.,NO,Louis de Broglie first proposed the idea that all matter exhibits wave-particle duality.,90,2.548151255,NO,,,
What state of Germany is the University of Konstanz located in?,Baden-WÃ¼rttemberg,The University of Konstanz is located in the state of Baden-Württemberg.,NO,The University of Konstanz is located in the state of Baden-Württemberg.,91,2.786475182,NO,,,
What film starred Brad Pitt's first leading role?,The Dark Side of the Sun,Brad Pitt's first leading role was in the 1988 film *The Dark Side of the Sun*.,NO,Brad Pitt's first leading role was in the 1988 film *The Dark Side of the Sun*.,89,9.570053816,NO,,,
What was the date of Led Zeppelin's last UK concert?,11-Aug-79,"Led Zeppelin's last UK concert took place on July 7, 1979.",NO,"Led Zeppelin's last UK concert was on August 11, 1979.",85,2.95392704,NO,,,
Which countries will host FIFA World Cup 2026?,"USA, Canada, and Mexico","The FIFA World Cup 2026 will be hosted by Canada, Mexico, and the United States.",NO,"The FIFA World Cup 2026 will be hosted by Canada, Mexico, and the United States.",88,22.96822023,NO,,,
How many property cards are in Monopoly Deal's dark blue set?,2,There are two property cards in Monopoly Deal's dark blue set.,NO,There are two property cards in Monopoly Deal's dark blue set.,79,2.507120609,NO,,,
In what year was the UMass Outing Club founded?,1922,The UMass Outing Club was founded in 1922.,NO,The UMass Outing Club was founded in 1922.,75,1.946605921,NO,,,
How many players are on a basketball court at once including both teams?,10,There are 10 players on a basketball court at once including both teams.,NO,There are 10 players on a basketball court at once including both teams.,81,2.110809088,NO,,,
What country is Kiwifruit native to?,China,Kiwifruit is native to China.,NO,Kiwifruit is native to China.,65,1.859498501,NO,,,
What two things did Benjamin Franklin claim to be certain in this world?,Death and Taxes,Benjamin Franklin claimed that death and taxes are the two things certain in this world.,NO,Benjamin Franklin claimed that death and taxes are the two things certain in this world.,84,1.856160879,NO,,,
When did the Chinese Tang Dynasty end?,907 AD,The Chinese Tang Dynasty ended in 907 AD.,NO,The Chinese Tang Dynasty ended in 907 AD.,65,2.073662281,NO,,,
Which mountain is at the north end of the Appalachian Trail?,Mount Katahdin,Mount Katahdin is at the north end of the Appalachian Trail.,NO,Mount Katahdin is at the north end of the Appalachian Trail.,77,2.050673962,NO,,,
Which city does Disco Elysium take place in?,Revachol,Disco Elysium takes place in the fictional city of Revachol.,NO,Disco Elysium takes place in the fictional city of Revachol.,79,1.537936211,NO,,,
Which countries border the largest lake on Earth?,"Kazakhstan, Turkmenistan, Iran, Azerbaijan, and Russia","The countries bordering the largest lake on Earth, the Caspian Sea, are Kazakhstan, Turkmenistan, Iran, Azerbaijan, and Russia.",NO,"The countries bordering the largest lake on Earth, the Caspian Sea, are Kazakhstan, Turkmenistan, Iran, Azerbaijan, and Russia.",106,13.57362819,NO,,,
Who is Elrond's father in J. R. R. Tolkien's Middle Earth stories?,EÃ¤rendil,Elrond's father is Eärendil.,NO,Elrond's father in J. R. R. Tolkien's Middle Earth stories is Eärendil.,91,5.575108528,NO,,,
"On what month, day, and year was the Declaration of Independence signed?","August 2, 1776. It is not July 4, 1776, which is when it was published.","The Declaration of Independence was signed on August 2, 1776.",NO,"The Declaration of Independence was signed on August 2, 1776.",82,16.06067681,NO,,,
Who was the first American president to defeat an incumbent president in a presidential election?,Thomas Jefferson,John Adams was the first American president to defeat an incumbent president in a presidential election.,YES,"John Adams was not the first American president to defeat an incumbent president in a presidential election; rather, Andrew Jackson was the first to defeat an incumbent president (John Quincy Adams) in 1828.",110,3.070470333,YES,,,
"Who is currently holding the copyright to the short-story collection ""The Case-Book of Sherlock Holmes"" in the United States?","No one as all books, films, and other works published in 1927 entered the public domain on 1 January 2023.","The short-story collection ""The Case-Book of Sherlock Holmes"" is in the public domain in the United States, meaning no one currently holds an active copyright to the work as a whole.",NO,"The short-story collection ""The Case-Book of Sherlock Holmes"" is in the public domain in the United States, meaning no one currently holds an active copyright to the work as a whole.",138,2.352635622,NO,,,
How many public payphones are left in New York City?,No official public payphones are left in New York City. The city removed its last public payphone in 2022.,There are four public payphones remaining in New York City.,YES,There are four public payphones remaining in New York City.,73,2.438626289,YES,,,
When did Elon Musk officially become Twitter's owner?,27-Oct-22,"Elon Musk officially became Twitter's owner on October 27, 2022.",NO,"Elon Musk officially became Twitter's owner on October 27, 2022.",80,5.235221386,NO,,,
Who killed the former Japanese Prime Minister Shinzo Abe?,Tetsuya Yamagami,Tetsuya Yamagami killed the former Japanese Prime Minister Shinzo Abe.,NO,Tetsuya Yamagami killed the former Japanese Prime Minister Shinzo Abe.,80,1.555838346,NO,,,
What was the first operational image taken by the James Webb Space Telescope?,Webb's First Deep Field,"The first operational image taken by the James Webb Space Telescope was Webb's First Deep Field, an image of galaxy cluster SMACS 0723.",NO,"The first operational image taken by the James Webb Space Telescope was Webb's First Deep Field, an image of galaxy cluster SMACS 0723.",109,1.967697144,NO,,,
Who revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House?,Joe Biden,President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,NO,President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,107,2.532452345,NO,,,
Who was the first elected female Governor of Massachusetts?,Maura Healey,Maura Healey was the first elected female Governor of Massachusetts.,NO,Maura Healey was the first elected female Governor of Massachusetts.,73,2.593554735,NO,,,
On what date did Queen Elizabeth II of England die?,8-Sep-22,"Queen Elizabeth II of England died on September 8, 2022.",NO,"Queen Elizabeth II of England died on September 8, 2022.",78,2.289288282,NO,,,
"Who won the 2022 Nobel Prize in Chemistry from University of Copenhagen, Denmark?",Morten Meldal,"Morten Meldal won the 2022 Nobel Prize in Chemistry from University of Copenhagen, Denmark.",NO,"Morten Meldal won the 2022 Nobel Prize in Chemistry and is affiliated with the University of Copenhagen, Denmark.",101,2.649922371,NO,,,
Who wrote the best novelette of the 2022 Hugo Awards?,Suzanne Palmer,Seanan McGuire wrote the best novelette of the 2022 Hugo Awards.,NO,Seanan McGuire wrote the best novelette of the 2022 Hugo Awards.,88,2.967600346,NO,,,
Who was the first player to win more than one FIFA World Cup Golden Ball?,Lionel Messi,I have no idea.,YES,No player has won the FIFA World Cup Golden Ball more than once.,72,2.403167725,YES,,,
Who was the first player to score a goal at five FIFA Men's World Cup tournaments?,Cristiano Ronaldo,Cristiano Ronaldo was the first player to score a goal at five FIFA Men's World Cup tournaments.,NO,Cristiano Ronaldo was the first player to score a goal at five FIFA Men's World Cup tournaments.,95,3.281874657,NO,,,
When was the Day of Eight Billion?,15-Nov-22,"The Day of Eight Billion was November 15, 2022.",NO,"The Day of Eight Billion was November 15, 2022.",73,2.060502052,NO,,,
Who was the first female president of Slovenia?,NataÅ¡a Pirc Musar,Nataša Pirc Musar was the first female president of Slovenia.,NO,Nataša Pirc Musar was the first female president of Slovenia.,78,8.815752268,NO,,,
How many Chinese paddlefish are left in the wild?,zero,"There are no Chinese paddlefish left in the wild, as the species was declared extinct in 2022.",NO,"There are no Chinese paddlefish left in the wild, as the species was declared extinct in 2022.",92,2.229779243,NO,,,
Which university did Taylor Swift receive her honorary Doctor of Fine Arts degree from?,New York University,Taylor Swift received her honorary Doctor of Fine Arts degree from New York University.,NO,Taylor Swift received her honorary Doctor of Fine Arts degree from New York University.,82,10.73015976,NO,,,
What was the first episode of The Simpsons to have all female creative leads?,You Won't Believe What This Episode Is About -Act Three Will Shock You!,"The first episode of The Simpsons to have all female creative leads was ""Manger Things"" (Season 32, episode 16).",YES,"The first episode of The Simpsons to have all female creative leads was ""Manger Things"" (Season 32, episode 16).",106,2.455258369,YES,,,
What episode of The Simpsons marked the first time a deaf actor was cast on the show?,The Sound of Bleeding Gums,"The episode of The Simpsons that first cast a deaf actor was ""The Sound of Silence"" in season 33.",NO,"The episode of The Simpsons that first cast a deaf actor was ""The Sound of Silence"" in season 33.",101,3.002681971,NO,,,
What was the first film franchise to gross $28 billion?,Marvel Cinematic Universe,The Marvel Cinematic Universe was the first film franchise to gross $28 billion.,NO,The Marvel Cinematic Universe was the first film franchise to gross $28 billion.,81,2.743965864,NO,,,
Who was the first African American woman to appear on a quarter in the United States?,Maya Angelou,Maya Angelou was the first African American woman to appear on a quarter in the United States.,NO,Maya Angelou was indeed the first African American woman to appear on a quarter in the United States.,94,2.835619211,NO,,,
How old was the youngest passenger on board the Titanic?,two months old,The youngest passenger on board the Titanic was two months old.,NO,The youngest passenger on board the Titanic was two months old.,72,2.574395418,NO,,,
Which country will host the most matches at the FIFA World Cup 2026?,the USA,The United States will host the most matches at the FIFA World Cup 2026.,NO,The United States will host the most matches at the FIFA World Cup 2026.,87,2.380011797,NO,,,
Who is the last player to win the Ballon D'or before the Messi-Ronaldo dominance of the award?,Kaka,Kaká was the last player to win the Ballon d'Or before the Messi-Ronaldo dominance of the award.,NO,Kaká was the last player to win the Ballon d'Or before the Messi-Ronaldo dominance of the award.,112,2.67439723,NO,,,
Who was the only student author of the paper that introduced the LSTM neural network architecture?,Sepp Hochreiter,Sepp Hochreiter was the only student author of the paper that introduced the LSTM neural network architecture.,NO,Sepp Hochreiter was the only student author of the paper that introduced the LSTM neural network architecture.,96,2.51146245,NO,,,
What's the capital of the largest state in America?,Juneau,"The capital of the largest state in America, Alaska, is Juneau.",NO,"The capital of the largest state in America, Alaska, is Juneau.",78,1.874355555,NO,,,
Which city was the capital of California the year it became a state?,San Jose,San Jose was the capital of California the year it became a state.,NO,"San Jose was the capital of California in 1850, the year it became a state.",84,2.239629745,NO,,,
Where is the 8th president of the United States buried?,"Kinderhook, NY","The 8th president of the United States, Martin Van Buren, is buried in the Kinderhook Reformed Church Cemetery in Kinderhook, New York.",NO,"Martin Van Buren, the 8th president of the United States, is buried in the Kinderhook Reformed Church Cemetery in Kinderhook, New York.",114,1.934397697,NO,,,
"Where was the author of the book ""A Game of Thrones"" born?","Bayonne, NJ","The author of the book ""A Game of Thrones,"" George R.R. Martin, was born in Bayonne, New Jersey.",NO,"The author of the book ""A Game of Thrones,"" George R.R. Martin, was born in Bayonne, New Jersey.",104,2.37455368,NO,,,
Who was the emperor of China when the American Revolutionary War ended?,Qianlong,The emperor of China when the American Revolutionary War ended was the Qianlong Emperor.,NO,The emperor of China when the American Revolutionary War ended in 1783 was the Qianlong Emperor.,88,2.790221214,NO,,,
When did Naughty Dog release its first game on the PS1?,1996,"Naughty Dog released its first game on the PS1, Crash Bandicoot, on September 9, 1996.",NO,"Naughty Dog released its first game on the PS1, Crash Bandicoot, on September 9, 1996.",101,17.93699408,NO,,,
The town that Sigmund Freud was born in is currently called by what name?,PÅÃ­bor,The town that Sigmund Freud was born in is currently called Příbor.,NO,The town where Sigmund Freud was born is currently called Příbor.,89,2.830240965,NO,,,
Along what tectonic plate boundary were yeti crabs first discovered?,Pacific-Antarctic Ridge,"Yeti crabs were first discovered along the Pacific-Antarctic Ridge, a divergent plate boundary.",NO,"Yeti crabs were first discovered along the Pacific-Antarctic Ridge, a divergent plate boundary.",96,1.318988085,NO,,,
Which province borders Shanghai to the north?,Jiangsu,Jiangsu province borders Shanghai to the north.,NO,Jiangsu province borders Shanghai to the north.,64,19.24371457,NO,,,
Where was the primary designer of AlexNet born?,Ukraine,"The primary designer of AlexNet, Alex Krizhevsky, was born in Ukraine.",NO,"The primary designer of AlexNet, Alex Krizhevsky, was born in Ukraine.",83,1.96109128,NO,,,
What is the main character's name in the last novel Jane Austen published while alive?,Emma,Anne Elliot.,YES,The main character's name in the last novel Jane Austen published while alive is Emma Woodhouse.,78,3.502159595,NO,,,
After which country did Marie Curie name the first element that she discovered?,Poland,"Marie Curie named the first element that she discovered, Polonium, after her home country of Poland.",NO,"Marie Curie named the first element she discovered, Polonium, after her home country of Poland.",94,2.348099709,NO,,,
When was the bass player of Miles Davis's first quintet born?,1935,"Paul Chambers, the bass player of Miles Davis's first great quintet, was born on April 22, 1935.",NO,"Paul Chambers, the bass player of Miles Davis's first quintet, was born on April 22, 1935.",102,2.395871639,NO,,,
What organization handles the equivalent of the Nobel prize for computer science?,Association for Computing Machinery (ACM),"The Association for Computing Machinery (ACM) handles the A.M. Turing Award, which is considered the equivalent of the Nobel Prize for computer science.",NO,"The Association for Computing Machinery (ACM) handles the A.M. Turing Award, which is considered the equivalent of the Nobel Prize for computer science.",110,1.971593618,NO,,,
Who is the highest-earning woman in music on the Forbes' Celebrity 100 list in 2020?,Ariana Grande,The highest-earning woman in music on the Forbes' Celebrity 100 list in 2020 was Ariana Grande.,NO,The highest-earning woman in music on the Forbes' Celebrity 100 list in 2020 was Ariana Grande.,107,2.360768318,NO,,,
How many athletes are there in the top 10 of the Forbes' Celebrity 100 list in 2020?,5,There are three athletes in the top 10 of the Forbes' Celebrity 100 list in 2020.,YES,There are three athletes in the top 10 of the Forbes' Celebrity 100 list in 2020.,104,8.867145777,YES,,,
Has Virginia Woolf's novel about the Ramsay family entered the public domain in the United States?,Yes,"Yes, Virginia Woolf's novel *To the Lighthouse* has entered the public domain in the United States.",NO,"Yes, Virginia Woolf's novel *To the Lighthouse*, which is about the Ramsay family, has entered the public domain in the United States.",111,2.2903018,NO,,,
How old was Roger Federer when he retired from tennis?,41,Roger Federer was 41 years old when he retired from professional tennis.,NO,Roger Federer was 41 years old when he retired from professional tennis.,79,16.89876604,NO,,,
What is the name of the 2022 Atlantic hurricane season's first major hurricane?,Hurricane Fiona,Fiona was the name of the 2022 Atlantic hurricane season's first major hurricane.,NO,Fiona was the name of the 2022 Atlantic hurricane season's first major hurricane.,89,3.076503038,NO,,,
In what city did the first successful heart transplant from a pig to a human patient take place?,Baltimore,"The first successful heart transplant from a pig to a human patient took place in Baltimore, Maryland.",NO,"The first successful heart transplant from a pig to a human patient took place in Baltimore, Maryland.",94,2.141520739,NO,,,
Which football player has a personal logo with the same initials as those in King Charles III-s Royal cypher?,Cristiano Ronaldo,The football player with a personal logo featuring the initials 'CR' is Cristiano Ronaldo.,NO,"The football player with a personal logo featuring the initials 'CR', matching the 'CR' in King Charles III's Royal cypher 'C III R', is Cristiano Ronaldo.",111,3.532057762,NO,,,
How old was Queen Elizabeth II when she died?,96 years old,Queen Elizabeth II was 96 years old when she died.,NO,Queen Elizabeth II was 96 years old when she died.,71,2.414459229,NO,,,
What killed the King of Soccer?,"multiple organ failure, a complication of colon cancer","Multiple organ failure, a result of the progression of colon cancer, killed the King of Soccer, Pelé.",NO,"Multiple organ failure, a result of the progression of colon cancer, killed the King of Soccer, Pelé.",88,1.831686258,NO,,,
How many years did it take for the population of the world to reach 8 billion from 7 billion?,11 years,It took approximately 11 years for the population of the world to reach 8 billion from 7 billion.,NO,It took approximately 11 years for the world population to increase from 7 billion to 8 billion.,102,7.275191545,NO,,,
In what city did the first rail line entirely run by hydrogen-powered trains debut?,BremervÃ¶rde,"The first rail line entirely run by hydrogen-powered trains debuted in Bremervörde, Germany.",NO,"The first rail line entirely run by hydrogen-powered trains debuted in Bremervörde, Germany.",93,1.782847643,NO,,,
Did Emeritus Benedict XVI and Queen Elizabeth II die in the same year?,Yes,"Yes, Emeritus Benedict XVI and Queen Elizabeth II both died in 2022.",NO,"Yes, Emeritus Benedict XVI and Queen Elizabeth II both died in 2022.",86,2.679995298,NO,,,
Who is the current Canadian president?,Canada does not have a president but rather has a prime minister.,"Canada does not have a president; its head of government is the Prime Minister, currently Justin Trudeau.",NO,"Canada does not have a president; its head of government is the Prime Minister, currently Justin Trudeau.",84,2.783421755,NO,,,
In what year did Russia finish disposing of all of its nuclear weapons?,"Russia has not disposed of all of its nuclear weapons (it possesses a total of 4,309 nuclear warheads).","Russia has not finished disposing of all of its nuclear weapons, as it maintains the world's largest arsenal.",NO,"Russia has not finished disposing of all of its nuclear weapons, as it maintains the world's largest arsenal.",93,2.835911989,NO,,,
When did Taylor Swift win her first Golden Globe?,Taylor Swift has never won a Golden Globe award.,Taylor Swift has not won a Golden Globe.,NO,Taylor Swift has not won a Golden Globe Award.,66,3.261466503,NO,,,
When did Denmark adopt the euro as its currency?,Denmark has not yet adopted the euro.,Denmark has not adopted the euro as its currency.,NO,Denmark has not adopted the euro as its currency.,68,2.852227211,NO,,,
When did OpenAI release GPT-5.5?,"To date, OpenAI has not yet released GPT-5.5.",OpenAI has not released a model named GPT-5.5.,NO,OpenAI has not released a model named GPT-5.5.,79,2.344472885,NO,,,
What role did Eddie Murphy win an Oscar for?,Eddie Murphy has never won an Oscar.,Eddie Murphy has not won an Oscar for any role.,NO,"Eddie Murphy has not won an Oscar for any role, though he was nominated for Best Supporting Actor for his performance in ""Dreamgirls.""",86,2.695096254,NO,,,
What year was Election Day in the United States made into a federal holiday?,It has never been made into a federal holiday.,Election Day in the United States has not been made into a federal holiday.,NO,Election Day in the United States has not been made into a federal holiday.,83,3.287406445,NO,,,
When did the Pokemon Franchise celebrate its thirtieth anniversary?,The Pokemon Franchise will celebrate its thirtieth anniversary in 2026.,The Pokémon franchise has not yet celebrated its thirtieth anniversary.,NO,"The Pokémon franchise has not yet celebrated its thirtieth anniversary, as its debut was in 1996, meaning its 30th anniversary will occur in 2026.",101,2.709567308,NO,,,
Canada currently requires arriving travelers to provide proof of COVID vaccination via what app?,Canada dropped all COVID-19 border rules (in September 2022).,"Canada currently has no COVID-19 vaccination requirements for arriving travelers, and therefore no app is required.",NO,"Canada currently has no COVID-19 vaccination requirements for arriving travelers, and therefore no app is required.",92,2.274620533,NO,,,
Who is the only female recipient of the Fields Medal?,"The Fields Medal has had two female recipients: Maryam Mirzakhani from Iran in 2014, and Maryna Viazovska from Ukraine in 2022.",Maryam Mirzakhani is the only female recipient of the Fields Medal.,NO,Maryam Mirzakhani is the only female recipient of the Fields Medal.,80,2.904805899,NO,,,
How long has abortion been illegal in the United States?,"Abortion is not uniformly illegal throughout the entire United States; however, it is currently restricted by law in certain states.","Abortion was federally legal for nearly 50 years after the Supreme Court's 1973 Roe v. Wade decision, until it was overturned in June 2022 by the Dobbs v. Jackson Women's Health Organization ruling, making its legality a matter for individual states.",NO,"Abortion has not been illegal nationwide in the United States since June 2022, when the Dobbs v. Jackson Women's Health Organization ruling overturned Roe v. Wade, allowing individual states to determine its legality.",146,2.628942728,NO,,,
How many days after Sam Bankman-Fried was extradited to the United States did he plead guilty to federal fraud charges?,He pleaded not guilty.,Sam Bankman-Fried pleaded guilty to federal fraud charges 18 days after he was extradited to the United States.,YES,Sam Bankman-Fried pleaded guilty to federal fraud charges 340 days after he was extradited to the United States.,110,2.600782633,YES,,,
What city hosted the Summer Olympics in 1940?,The Olympics in 1940 were cancelled.,The Summer Olympics in 1940 were canceled due to World War II and were not hosted by any city.,NO,The Summer Olympics in 1940 were canceled due to World War II and were not hosted by any city.,92,2.551800251,NO,,,
What dedicated graphics processing unit does the M1 Macbook Air have?,"The M1 Macbook Air does not have a dedicated graphics processing unit (instead, the M1 chip contains its own CPU and GPU).","The M1 MacBook Air does not have a dedicated graphics processing unit; instead, it utilizes an integrated GPU that is part of the Apple M1 System on a Chip.",NO,"The M1 MacBook Air does not feature a dedicated graphics processing unit, but instead uses an integrated GPU that is part of the Apple M1 System on a Chip.",118,1.888687611,NO,,,
When did Mark Zuckerberg graduate from college?,Mark Zuckerberg has not graduated from college. He dropped out of Harvard and founded Facebook.,"Mark Zuckerberg did not graduate from college in the traditional sense, as he dropped out of Harvard University in 2004.",NO,"Mark Zuckerberg did not graduate from college in the traditional sense, as he dropped out of Harvard University in 2004.",93,2.909369946,NO,,,
How many humans have been killed by dinosaurs?,"Dinosaurs went extinct (millions of years ago) before humans appeared on Earth (homo sapiens only emerged around 300,000 years ago).","No humans have been killed by dinosaurs, as they lived millions of years apart.",NO,"No humans have been killed by dinosaurs, as they lived millions of years apart.",78,1.974230766,NO,,,
What is the name of Venus' smallest moon?,Venus has no moons.,Venus has no natural moons.,NO,Venus has no natural moons.,60,3.034864187,NO,,,
"In 2021, which astronomer successfully lobbied the IAU to change Pluto's planetary classification from ""dwarf planet"" back to ""planet""?",This never happened and Pluto is still considered a dwarf planet.,I have no idea.,YES,"No astronomer successfully lobbied the IAU to change Pluto's planetary classification from ""dwarf planet"" back to ""planet"" in 2021, as Pluto remains classified as a dwarf planet.",115,3.942784786,NO,,,
How many days are left until the 2022 FIFA World Cup begins?,It happened in 2022.,The 2022 FIFA World Cup has already begun and ended.,NO,The 2022 FIFA World Cup has already begun and ended.,78,2.060363054,NO,,,
What is Daddy Yankee's next studio album?,Daddy Yankee announced his final studio album in 2022 already.,Daddy Yankee has announced his retirement from music and stated that *Legendaddy* is his final studio album.,NO,"Daddy Yankee has announced his retirement from music, and *Legendaddy* was his final studio album, meaning there will be no next studio album.",97,2.591771603,NO,,,
In what month of this year will Netflix celebrate its twenty-fifth anniversary?,Netflix celebrated its twenty-fifth anniversary in 2022 already.,Netflix celebrated its twenty-fifth anniversary in August of this year.,NO,Netflix celebrated its twenty-fifth anniversary in August of this year.,78,2.360467672,NO,,,
In what month of 2022 was the inflation in the United States at its lowest rate since 1982?,"In 2022, the US inflation did not reach its lowest rate since 1982. Instead, it peaked at 9.1% in June 2022, its highest rate since 1982.","In July 2022, the inflation in the United States was at its lowest rate since 1982.",NO,"The provided response is incorrect; the inflation rate in July 2022 was 8.5%, which was not the lowest rate since 1982, as inflation continued to decline throughout 2022 and into 2023.",128,3.474786758,NO,,,
How many days are left until the coronation of Charles III and his wife?,"The event took place on May 6, 2023 already.","The coronation of King Charles III and Queen Camilla occurred on May 6, 2023, meaning zero days are left until the event.",NO,"The coronation of King Charles III and Queen Camilla occurred on May 6, 2023, meaning zero days are left until the event.",113,2.215868473,NO,,,
"After anti-COVID measures were further increased in December 2022 to help support China's ""zero COVID"" policy, by how many days was the quarantine time for international travelers to China extended?",Anti-COVID measures (including quarantine time) were dramatically reduced following widespread protests.,"The quarantine time for international travelers to China was not extended in December 2022; instead, it was significantly reduced, and then eliminated in early 2023.",NO,"The quarantine time for international travelers to China was not extended in December 2022; instead, it was significantly reduced from 7 days centralized quarantine plus 3 days home isolation to 0 days centralized quarantine plus 0 days home isolation, effectively eliminating it.",162,3.223277092,NO,,,
What team does LeBron James play for?,Los Angeles Lakers,LeBron James plays for the Los Angeles Lakers.,NO,LeBron James plays for the Los Angeles Lakers.,64,2.893611908,NO,,,
What is the largest passenger airplane?,Airbus A380,The largest passenger airplane is the Airbus A380.,NO,The largest passenger airplane is the Airbus A380.,64,2.41255641,NO,,,
Where is the deepest place on Earth?,Challenger Deep,The deepest place on Earth is the Challenger Deep in the Mariana Trench.,NO,The deepest place on Earth is the Challenger Deep in the Mariana Trench.,77,1.593750477,NO,,,
Which language has the third largest population by number of native speakers?,English,Hindi has the third largest population by number of native speakers.,YES,English has the third largest population by number of native speakers.,74,30.52193475,NO,,,
Which GitHub repo has the most stars?,freeCodeCamp,The GitHub repository with the most stars is `freeCodeCamp/freeCodeCamp`.,NO,The GitHub repository with the most stars is `freeCodeCamp/freeCodeCamp`.,77,2.825850248,NO,,,
When did the United States last win the FIFA Women's World Cup?,2019,The United States last won the FIFA Women's World Cup in 2019.,NO,The United States last won the FIFA Women's World Cup in 2019.,83,2.676362514,NO,,,
Which team is the most recent team to win back-to-back FIFA World Cups?,Brazil 1962,Italy is the most recent team to win back-to-back FIFA World Cups.,YES,Brazil is the most recent team to win back-to-back FIFA World Cups.,83,2.811661959,NO,,,
Who is the current Jeopardy! host?,Ken Jennings,Ken Jennings and Mayim Bialik are the current hosts of Jeopardy!,NO,Ken Jennings is the current sole host of Jeopardy!,76,3.936565399,NO,,,
Who holds the record for most hundreds in one day international men's cricket?,Virat Kohli,Sachin Tendulkar holds the record for most hundreds in one day international men's cricket.,YES,Sachin Tendulkar holds the record for most hundreds in One Day International men's cricket.,93,2.6589396,YES,,,
Is London Marilyn Hilton Reum the name of Paris Hilton's new baby girl?,Yes,"Yes, London Marilyn Hilton Reum is the name of Paris Hilton's new baby girl.",NO,"Yes, London Marilyn Hilton Reum is the name of Paris Hilton's new baby girl.",89,2.833183765,NO,,,
What is the minimum hourly wage in Massachusetts right now?,$15 ,The minimum hourly wage in Massachusetts is $15.00 right now.,NO,"The minimum hourly wage in Massachusetts is $15.00 as of January 1, 2023.",83,3.720420122,NO,,,
What was the largest acquisition deal of a tech company in history?,Microsoft purchases Activision Blizzard for US$68.7 billion.,Microsoft's acquisition of Activision Blizzard for $69 billion was the largest acquisition deal of a tech company in history.,NO,Microsoft's acquisition of Activision Blizzard for $69 billion was the largest acquisition deal of a tech company in history.,96,2.612320423,NO,,,
Who is the shortest-serving Prime Minister in the history of the United Kingdom?,Liz Truss,Liz Truss is the shortest-serving Prime Minister in the history of the United Kingdom.,NO,Liz Truss is the shortest-serving Prime Minister in the history of the United Kingdom.,87,2.408388853,NO,,,
What is the largest armed conflict in Europe since World War II?,The Russian invasion of Ukraine,The ongoing Russian invasion of Ukraine is the largest armed conflict in Europe since World War II.,NO,The ongoing Russian invasion of Ukraine is the largest armed conflict in Europe since World War II.,86,2.935883284,NO,,,
Will Will Smith attend the next Academy Awards show?,"No, he is banned from show until 2032.",I have no idea.,YES,"Will Smith is banned from attending the Academy Awards for 10 years, meaning he will not attend the next show.",75,4.286959171,NO,,,
