Question,Answer,base_response,is_hallucination,final_answer,token_cost,time_cost,recheck_hallucination,
What city was Emily Dickinson born in?,"Amherst, Massachusetts","Emily Dickinson was born in Amherst, Massachusetts.",NO,"Emily Dickinson was born in Amherst, Massachusetts.",3037,37.89746332,NO,
Who wrote Between the World and Me?,Ta-Nehisi Coates,Between the World and Me was written by Ta-Nehisi Coates.,NO,Ta-Nehisi Coates wrote Between the World and Me.,2731,30.62908244,NO,
Who founded Amazon?,Jeff Bezos,Amazon was founded by Jeff Bezos.,NO,Amazon was founded by Jeff Bezos in 1994.,2402,28.67179012,NO,
What is the capital of the commonwealth of Massachusetts?,Boston,The capital of the Commonwealth of Massachusetts is Boston.,NO,Boston is the capital of the Commonwealth of Massachusetts.,3313,43.98477769,NO,
Which team won the 2021 FIFA Club World Cup?,Chelsea,Chelsea won the 2021 FIFA Club World Cup.,NO,Chelsea won the 2021 FIFA Club World Cup.,2934,32.7271812,NO,
During the recording of which Beatles album did Ringo Starr temporarily quit the band?,White Album,Ringo Starr temporarily quit the band during the recording sessions for The Beatles (the White Album).,NO,Ringo Starr temporarily quit the band during the recording sessions for The Beatles (the White Album).,2987,35.3668592,NO,
In what city is the Louvre Museum?,"Paris, France",The Louvre Museum is in Paris.,NO,The Louvre Museum is in Paris.,3145,36.35528135,NO,
In what month and year did the Tulip mania bubble collapse?,February 1637,The Tulip mania bubble collapsed in February 1637.,NO,The Tulip mania bubble collapsed in February 1637.,2683,32.77257824,NO,
Which character arrives late to the titular banquet in Plato's Symposium?,Socrates,Alcibiades arrives late to the banquet in Plato’s Symposium.,YES,Alcibiades is the character who arrives late to the banquet in Plato’s Symposium.,3039,33.80510259,YES,
What was the kanji of the year in 2021?,gold,"The Kanji of the Year in 2021 was ""金,"" meaning ""gold.""",NO,"The 2021 Kanji of the Year was 金, meaning “gold.”",3336,38.71176243,NO,
The 1939 German invasion of Poland began soon after Germany signed a non-aggression pact with what other nation?,Soviet Union,The 1939 German invasion of Poland began soon after Germany signed a non-aggression pact with the Soviet Union.,NO,The Soviet Union.,3572,39.20365715,NO,
"What award did Yann LeCun, Geoffrey Hinton, and Yoshua Bengio win together?",Turing Award,"Yann LeCun, Geoffrey Hinton, and Yoshua Bengio jointly won the 2018 ACM A.M. Turing Award.",NO,"Yann LeCun, Geoffrey Hinton, and Yoshua Bengio jointly won the 2018 ACM A.M. Turing Award.",3674,53.39843607,NO,
What was the real name of the author George Eliot?,Mary Ann Evans,George Eliot's real name was Mary Ann Evans.,NO,George Eliot's real name was Mary Ann Evans.,2766,30.97461748,NO,
Where is Gil Evans from?,"Toronto, Canada","Gil Evans was from Toronto, Ontario, Canada.",NO,"Gil Evans was born in Toronto, Ontario, Canada.",4433,66.43625402,NO,
Who is the director of the movie The Room?,Tommy Wiseau,The director of the movie The Room is Tommy Wiseau.,NO,The director of the movie The Room is Tommy Wiseau.,2788,31.14530468,NO,
How many years did the Hundred Years' War last?,116 years,The Hundred Years' War lasted 116 years.,NO,The Hundred Years' War lasted 116 years (1337–1453).,3497,43.62879205,NO,
On which side do people stand on the escalator in Tokyo?,left,"In Tokyo, people typically stand on the left side of the escalator.",NO,"In Tokyo, people typically stand on the left side of the escalator (walking on the right), though recent safety campaigns discourage walking.",3475,50.0727098,NO,
In which month does the Japanese school year start?,April,The Japanese school year starts in April.,NO,The Japanese school year starts in April.,2674,31.24713802,NO,
Who was the first football player to score one hundred international goals?,Ali Daei,The first football player to score one hundred international goals was Ali Daei of Iran.,NO,"Ali Daei of Iran was the first male footballer to score one hundred international goals, though several women had already reached that milestone earlier.",5510,85.15836549,NO,
In which municipality did Typhoon Haiyan make its first eye landfall?,"Guiuan, Eastern Samar","Typhoon Haiyan’s first eye landfall occurred in the municipality of Guiuan, Eastern Samar.",NO,"Typhoon Haiyan’s eye first made landfall in the municipality of Guiuan, Eastern Samar.",3199,40.52011466,NO,
"What time of day on August 15, 1947 did India become an independent nation?",12:02 AM,"India became an independent nation at the stroke of midnight on August 15, 1947.",NO,"India became an independent nation at the stroke of midnight on August 15, 1947.",4001,52.01683497,NO,
Where was Emily Joanna Carey born?,Barnet,"Emily Joanna Carey was born in Barnet, London, England.",NO,"Emily Joanna Carey was born in Barnet, London, England.",6288,76.3357017,NO,
"Along with streptococcus thermophilus, what other bacteria is used to make Bulgarian yogurt?",Lactobacillus bulgaricus,Lactobacillus delbrueckii subsp. bulgaricus (commonly called Lactobacillus bulgaricus) is used alongside Streptococcus thermophilus to make Bulgarian yogurt.,NO,Lactobacillus delbrueckii subsp. bulgaricus (also known as Lactobacillus bulgaricus) is the other bacterium used alongside Streptococcus thermophilus to make Bulgarian yogurt.,4408,56.10444331,NO,
When did Blackpink make their debut?,2016,"Blackpink made their debut on August 8, 2016.",NO,"Blackpink made their debut on August 8, 2016.",3377,44.72039461,NO,
Which company developed Overwatch?,Blizzard Entertainment,Overwatch was developed by Blizzard Entertainment.,NO,Overwatch was developed by Blizzard Entertainment.,2491,30.66594887,NO,
What is the heaviest reptile in the world?,saltwater crocodile,The heaviest reptile in the world is the saltwater crocodile (Crocodylus porosus).,NO,The heaviest reptile in the world is the saltwater crocodile (Crocodylus porosus).,4945,78.68239117,NO,
Who first proposed the idea that all matter exhibits wave-particle duality?,Louis de Broglie,Louis de Broglie first proposed that all matter exhibits wave-particle duality.,NO,"Louis de Broglie first proposed that all matter exhibits wave-particle duality, introducing the idea in 1923.",3583,38.15956211,NO,
What state of Germany is the University of Konstanz located in?,Baden-WÃ¼rttemberg,"The University of Konstanz is located in the state of Baden-Württemberg, Germany.",NO,"The University of Konstanz is located in Baden-Württemberg, Germany.",3465,61.40710211,NO,
What film starred Brad Pitt's first leading role?,The Dark Side of the Sun,The Dark Side of the Sun featured Brad Pitt’s first leading role.,NO,Brad Pitt’s first leading role was in The Dark Side of the Sun.,4744,68.87206483,NO,
What was the date of Led Zeppelin's last UK concert?,11-Aug-79,It was on 11 August 1979.,NO,Led Zeppelin's last UK concert was on 11 August 1979.,3284,43.59316921,NO,
Which countries will host FIFA World Cup 2026?,"USA, Canada, and Mexico","Canada, Mexico, and the United States will host the 2026 FIFA World Cup.",NO,"The 2026 FIFA World Cup will be hosted by Canada, Mexico, and the United States.",3780,74.87153602,NO,
How many property cards are in Monopoly Deal's dark blue set?,2,There are two property cards in the dark blue set.,NO,There are two property cards in Monopoly Deal’s dark blue set.,3344,35.18876386,NO,
In what year was the UMass Outing Club founded?,1922,The UMass Outing Club was founded in 1929.,YES,1921,4188,60.95937991,YES,
How many players are on a basketball court at once including both teams?,10,"There are ten players on the court at a time, five per team.",NO,"There are ten players on the court at once, five from each team.",4037,45.79243922,NO,
What country is Kiwifruit native to?,China,Kiwifruit is native to China.,NO,Kiwifruit is native to China.,3041,63.60996246,NO,
What two things did Benjamin Franklin claim to be certain in this world?,Death and Taxes,Benjamin Franklin claimed that in this world nothing is certain except death and taxes.,NO,He claimed that nothing is certain except death and taxes.,4099,50.34450555,NO,
When did the Chinese Tang Dynasty end?,907 AD,The Chinese Tang Dynasty ended in 907 CE.,NO,"The Chinese Tang Dynasty ended in 907 CE, when Zhu Quanzhong deposed Emperor Ai and founded the Later Liang.",3468,51.32996821,NO,
Which mountain is at the north end of the Appalachian Trail?,Mount Katahdin,The mountain at the north end of the Appalachian Trail is Mount Katahdin in Maine.,NO,Mount Katahdin in Maine is the mountain at the north end of the Appalachian Trail.,3563,42.24847674,NO,
Which city does Disco Elysium take place in?,Revachol,It takes place in the city of Revachol.,NO,Disco Elysium takes place in the city of Revachol.,2705,30.40580392,NO,
Which countries border the largest lake on Earth?,"Kazakhstan, Turkmenistan, Iran, Azerbaijan, and Russia","The countries bordering the Caspian Sea, the largest lake on Earth, are Russia, Kazakhstan, Turkmenistan, Iran, and Azerbaijan.",NO,"Russia, Kazakhstan, Turkmenistan, Iran, and Azerbaijan border the Caspian Sea, the largest lake on Earth.",5984,85.41103697,NO,
Who is Elrond's father in J. R. R. Tolkien's Middle Earth stories?,EÃ¤rendil,"Elrond's father is Eärendil, also called Eärendil the Mariner.",NO,"Elrond’s father is Eärendil, also known as Eärendil the Mariner.",4520,61.94251728,NO,
"On what month, day, and year was the Declaration of Independence signed?","August 2, 1776. It is not July 4, 1776, which is when it was published.","The Declaration of Independence was formally signed on August 2, 1776.",NO,"The Declaration of Independence was formally signed on August 2, 1776.",4381,54.95726395,NO,
Who was the first American president to defeat an incumbent president in a presidential election?,Thomas Jefferson,"Thomas Jefferson was the first, defeating incumbent President John Adams in the election of 1800.",NO,"Thomas Jefferson, in 1800, became the first American president to defeat an incumbent, unseating John Adams.",3493,50.94497275,NO,
"Who is currently holding the copyright to the short-story collection ""The Case-Book of Sherlock Holmes"" in the United States?","No one as all books, films, and other works published in 1927 entered the public domain on 1 January 2023.","No one, because The Case-Book of Sherlock Holmes is now in the public domain in the United States.",NO,"No one; the collection entered the U.S. public domain on January 1, 2023, so there is no current copyright holder.",5969,80.44743896,NO,
How many public payphones are left in New York City?,No official public payphones are left in New York City. The city removed its last public payphone in 2022.,There are no public payphones left in New York City.,NO,There are zero public payphones left in New York City.,4252,57.09799552,NO,
When did Elon Musk officially become Twitter's owner?,27-Oct-22,"Elon Musk officially became Twitter’s owner on October 27, 2022.",NO,"Elon Musk officially became Twitter’s owner on October 27, 2022.",2781,40.78473163,NO,
Who killed the former Japanese Prime Minister Shinzo Abe?,Tetsuya Yamagami,Former Japanese Prime Minister Shinzo Abe was killed by Tetsuya Yamagami.,NO,Shinzo Abe was killed by Tetsuya Yamagami.,4277,67.68937016,NO,
What was the first operational image taken by the James Webb Space Telescope?,Webb's First Deep Field,The first operational image from the James Webb Space Telescope was Webb’s First Deep Field of the galaxy cluster SMACS 0723.,NO,It was a NIRCam commissioning image of the bright star HD 84406—an 18-segment mosaic used for mirror alignment—rather than the later SMACS 0723 deep field.,4968,73.24988508,YES,
Who revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House?,Joe Biden,U.S. President Joe Biden revealed the first operational image from NASA's James Webb Space Telescope at the White House.,NO,U.S. President Joe Biden revealed the first operational image taken by NASA's James Webb Space Telescope at the White House.,3506,49.43179846,NO,
Who was the first elected female Governor of Massachusetts?,Maura Healey,Maura Healey was the first elected female Governor of Massachusetts.,NO,Maura Healey was the first woman elected Governor of Massachusetts.,2779,31.48461318,NO,
On what date did Queen Elizabeth II of England die?,8-Sep-22,"Queen Elizabeth II died on September 8, 2022.",NO,"Queen Elizabeth II died on September 8, 2022.",3850,48.49406886,NO,
"Who won the 2022 Nobel Prize in Chemistry from University of Copenhagen, Denmark?",Morten Meldal,"Morten Meldal won the 2022 Nobel Prize in Chemistry from the University of Copenhagen, Denmark.",NO,Morten Meldal from the University of Copenhagen won (shared) the 2022 Nobel Prize in Chemistry.,3922,53.26452208,NO,
Who wrote the best novelette of the 2022 Hugo Awards?,Suzanne Palmer,"Suzanne Palmer wrote “Bots of the Lost Ark,” which won the 2022 Hugo Award for Best Novelette.",NO,"Suzanne Palmer wrote the 2022 Hugo Award–winning Best Novelette, “Bots of the Lost Ark.”",4585,59.71900558,NO,
Who was the first player to win more than one FIFA World Cup Golden Ball?,Lionel Messi,Lionel Messi was the first player to win more than one FIFA World Cup Golden Ball.,NO,"Lionel Messi was the first player to win more than one FIFA World Cup Golden Ball, achieving the award in 2014 and 2022.",3004,41.34573531,NO,
Who was the first player to score a goal at five FIFA Men's World Cup tournaments?,Cristiano Ronaldo,Cristiano Ronaldo was the first player to score a goal at five FIFA Men's World Cup tournaments.,NO,Cristiano Ronaldo was the first player to score a goal at five FIFA Men's World Cup tournaments.,3942,73.85390472,NO,
When was the Day of Eight Billion?,15-Nov-22,"The Day of Eight Billion was on November 15, 2022.",NO,"The Day of Eight Billion was on November 15, 2022.",2970,41.7141521,NO,
Who was the first female president of Slovenia?,NataÅ¡a Pirc Musar,"The first female president of Slovenia is Nataša Pirc Musar, who took office in December 2022.",NO,Nataša Pirc Musar became Slovenia’s first female president in December 2022.,2857,38.59778833,NO,
How many Chinese paddlefish are left in the wild?,zero,There are none left in the wild because the Chinese paddlefish is extinct.,NO,"There are zero Chinese paddlefish left in the wild, as the species is extinct.",3691,41.46477771,NO,
Which university did Taylor Swift receive her honorary Doctor of Fine Arts degree from?,New York University,Taylor Swift received her honorary Doctor of Fine Arts degree from New York University.,NO,Taylor Swift received her honorary Doctor of Fine Arts degree from New York University.,3302,46.59834695,NO,
What was the first episode of The Simpsons to have all female creative leads?,You Won't Believe What This Episode Is About -Act Three Will Shock You!,I have no idea.,YES,None—there hasn’t been any episode of The Simpsons to have all-female creative leads.,5893,119.2051008,YES,
What episode of The Simpsons marked the first time a deaf actor was cast on the show?,The Sound of Bleeding Gums,"The first time a deaf actor was cast on The Simpsons was in season 33’s episode ""The Sound of Bleeding Gums.""",NO,"Season 33’s episode The Sound of Bleeding Gums (2022) was the first to cast a deaf actor on The Simpsons, featuring John Autry II.",4022,73.42224979,NO,
What was the first film franchise to gross $28 billion?,Marvel Cinematic Universe,The Marvel Cinematic Universe was the first film franchise to gross $28 billion.,NO,"The claim that the Marvel Cinematic Universe was the first film franchise to gross $28 billion is unsupported by the provided context, which only cites $5.67 billion and does not confirm any franchise reaching $28 billion.",4212,53.76785374,NO,
Who was the first African American woman to appear on a quarter in the United States?,Maya Angelou,Maya Angelou was the first African American woman to appear on a U.S. quarter.,NO,Maya Angelou was the first African American woman to appear on a U.S. quarter.,4102,39.17587304,NO,
How old was the youngest passenger on board the Titanic?,two months old,The youngest passenger on the Titanic was two months old.,NO,The youngest passenger on board the Titanic was two months old.,4213,68.6111064,NO,
Which country will host the most matches at the FIFA World Cup 2026?,the USA,The United States will host the most matches at the FIFA World Cup 2026.,NO,The United States will host the most matches at the FIFA World Cup 2026.,3400,51.39217854,NO,
Who is the last player to win the Ballon D'or before the Messi-Ronaldo dominance of the award?,Kaka,The last player to win the Ballon d'Or before the Messi-Ronaldo dominance was Kaká in 2007.,NO,Kaká in 2007.,3165,38.14458179,NO,
Who was the only student author of the paper that introduced the LSTM neural network architecture?,Sepp Hochreiter,The only student author was Sepp Hochreiter.,NO,Sepp Hochreiter was the only student author.,3301,39.03477979,NO,
What's the capital of the largest state in America?,Juneau,"The capital of the largest U.S. state, Alaska, is Juneau.",NO,"Juneau is the capital of Alaska, the largest U.S. state by area.",3039,33.62645245,NO,
Which city was the capital of California the year it became a state?,San Jose,"San Jose was the capital of California in 1850, the year it became a state.",NO,"San Jose was the capital of California in 1850, the year it became a state.",3599,37.58169675,NO,
Where is the 8th president of the United States buried?,"Kinderhook, NY","He is buried at the Kinderhook Reformed Dutch Church Cemetery in Kinderhook, New York.",NO,,7609,114.160502,YES,
"Where was the author of the book ""A Game of Thrones"" born?","Bayonne, NJ","The author of ""A Game of Thrones,"" George R. R. Martin, was born in Bayonne, New Jersey, United States.",NO,"George R. R. Martin, author of ""A Game of Thrones,"" was born in Bayonne, New Jersey, United States.",4328,60.39571524,NO,
Who was the emperor of China when the American Revolutionary War ended?,Qianlong,The Qianlong Emperor of the Qing dynasty was ruling China when the American Revolutionary War ended in 1783.,NO,The Qianlong Emperor of the Qing dynasty was the emperor of China when the American Revolutionary War ended in 1783.,5408,62.76523542,NO,
When did Naughty Dog release its first game on the PS1?,1996,"Naughty Dog released its first PlayStation game, Crash Bandicoot, on September 9, 1996.",NO,"Naughty Dog released its first PS1 game, Crash Bandicoot, on September 9, 1996.",3111,39.82788777,NO,
The town that Sigmund Freud was born in is currently called by what name?,PÅÃ­bor,"The town, formerly known as Freiberg in Moravia, is now called Příbor in the Czech Republic.",NO,It is now called Příbor in the Czech Republic.,3142,31.59694338,NO,
Along what tectonic plate boundary were yeti crabs first discovered?,Pacific-Antarctic Ridge,"Yeti crabs were first discovered along the Pacific-Antarctic Ridge, the divergent boundary between the Pacific and Antarctic plates.",NO,"They were first discovered along the Pacific–Antarctic Ridge, the divergent boundary between the Pacific and Antarctic plates.",5354,79.18792653,NO,
Which province borders Shanghai to the north?,Jiangsu,Jiangsu Province borders Shanghai to the north.,NO,Jiangsu Province borders Shanghai to the north.,3325,34.258358,NO,
Where was the primary designer of AlexNet born?,Ukraine,"Alex Krizhevsky, the primary designer of AlexNet, was born in Ukraine.",NO,"The primary designer of AlexNet, Alex Krizhevsky, was born in Ukraine.",3542,62.77261519,NO,
What is the main character's name in the last novel Jane Austen published while alive?,Emma,The main character's name is Emma Woodhouse.,NO,The main character's name is Emma Woodhouse.,3234,46.93957806,NO,
After which country did Marie Curie name the first element that she discovered?,Poland,"She named the element polonium after her native country, Poland.",NO,Poland.,3830,54.97207999,NO,
When was the bass player of Miles Davis's first quintet born?,1935,"The bassist, Paul Chambers, was born on April 22, 1935.",NO,"Paul Chambers, the bassist in Miles Davis’s first quintet, was born on April 22, 1935.",3193,47.27012253,NO,
What organization handles the equivalent of the Nobel prize for computer science?,Association for Computing Machinery (ACM),"The Association for Computing Machinery (ACM) administers the Turing Award, the equivalent of the Nobel Prize for computer science.",NO,"The Association for Computing Machinery (ACM) administers the A.M. Turing Award, widely regarded as the Nobel Prize of computer science.",5580,68.67628431,NO,
Who is the highest-earning woman in music on the Forbes' Celebrity 100 list in 2020?,Ariana Grande,Ariana Grande was the highest-earning woman in music on Forbes’ Celebrity 100 list in 2020.,NO,Ariana Grande was the highest-earning woman in music on Forbes’ Celebrity 100 list in 2020.,5047,74.40815496,NO,
How many athletes are there in the top 10 of the Forbes' Celebrity 100 list in 2020?,5,There are five athletes in the top 10 of Forbes' Celebrity 100 list in 2020.,NO,There are five athletes in the top 10 of Forbes' Celebrity 100 list in 2020.,4534,51.38281465,NO,
Has Virginia Woolf's novel about the Ramsay family entered the public domain in the United States?,Yes,"Yes—Virginia Woolf’s To the Lighthouse (1927), the novel about the Ramsay family, entered the U.S. public domain on January 1, 2023.",NO,"Yes—Virginia Woolf’s To the Lighthouse (1927), the novel about the Ramsay family, entered the U.S. public domain on January 1, 2023.",6337,83.02840018,NO,
How old was Roger Federer when he retired from tennis?,41,Roger Federer was 41 years old when he retired from tennis.,NO,Roger Federer was 41 years old when he retired from professional tennis.,3119,33.57744074,NO,
What is the name of the 2022 Atlantic hurricane season's first major hurricane?,Hurricane Fiona,The first major hurricane of the 2022 Atlantic hurricane season was Hurricane Earl.,YES,The first major hurricane of the 2022 Atlantic hurricane season was Hurricane Fiona.,3324,36.87830472,NO,
In what city did the first successful heart transplant from a pig to a human patient take place?,Baltimore,"It took place in Baltimore, Maryland.",NO,"Baltimore, Maryland.",3763,45.4401803,NO,
Which football player has a personal logo with the same initials as those in King Charles III-s Royal cypher?,Cristiano Ronaldo,The football player is Cristiano Ronaldo.,NO,Cristiano Ronaldo.,4022,53.42109895,NO,
How old was Queen Elizabeth II when she died?,96 years old,Queen Elizabeth II was 96 years old when she died.,NO,Queen Elizabeth II was 96 years old when she died.,3176,33.90902281,NO,
What killed the King of Soccer?,"multiple organ failure, a complication of colon cancer","Complications from colon cancer, leading to multiple organ failure, killed the King of Soccer.",NO,He died of multiple organ failure caused by complications from colon cancer.,3531,44.56275916,NO,
How many years did it take for the population of the world to reach 8 billion from 7 billion?,11 years,It took about 11 years.,NO,It took about 11 years.,3111,40.47207785,NO,
In what city did the first rail line entirely run by hydrogen-powered trains debut?,BremervÃ¶rde,"It debuted in Bremervörde, Germany.",NO,"It debuted in Bremervörde, Germany.",3445,45.1552453,NO,
Did Emeritus Benedict XVI and Queen Elizabeth II die in the same year?,Yes,"Yes, both died in 2022.",NO,"Yes, both died in 2022.",2717,35.45800781,NO,
Who is the current Canadian president?,Canada does not have a president but rather has a prime minister.,Canada does not have a president; it is a constitutional monarchy with a prime minister as head of government and a monarch as head of state represented by the governor general.,NO,"Canada does not have a president; it is a constitutional monarchy in which the prime minister is the head of government and the head of state is the monarch (currently King Charles III), represented by the Governor General.",6587,88.53083253,NO,
In what year did Russia finish disposing of all of its nuclear weapons?,"Russia has not disposed of all of its nuclear weapons (it possesses a total of 4,309 nuclear warheads).","There is no year, because Russia has not disposed of all its nuclear weapons.",NO,There is no year because Russia has not disposed of all its nuclear weapons.,3294,45.77098083,NO,
When did Taylor Swift win her first Golden Globe?,Taylor Swift has never won a Golden Globe award.,"Taylor Swift has never won a Golden Globe, so there is no date for a first win.",NO,"Taylor Swift has never won a Golden Globe, so there is no date for a first win.",14220,220.2352591,NO,
When did Denmark adopt the euro as its currency?,Denmark has not yet adopted the euro.,Denmark has never adopted the euro and still uses the Danish krone (DKK).,NO,Never—Denmark has not adopted the euro and continues to use the Danish krone (DKK).,4310,54.71062684,NO,
When did OpenAI release GPT-5.5?,"To date, OpenAI has not yet released GPT-5.5.",OpenAI has not released a model named GPT-5.5.,NO,"OpenAI has not released a model called GPT-5.5, so there is no release date.",4762,65.75018525,NO,
What role did Eddie Murphy win an Oscar for?,Eddie Murphy has never won an Oscar.,"Eddie Murphy has never won an Oscar, though he was nominated for Best Supporting Actor for his role as James ""Thunder"" Early in Dreamgirls.",NO,"Eddie Murphy has never won an Oscar; he was only nominated for Best Supporting Actor for playing James ""Thunder"" Early in Dreamgirls.",3877,66.47228861,NO,
What year was Election Day in the United States made into a federal holiday?,It has never been made into a federal holiday.,It has never been made into a federal holiday in the United States.,NO,"Election Day has never been made a federal holiday in the United States, so there is no year.",5470,86.40746522,NO,
When did the Pokemon Franchise celebrate its thirtieth anniversary?,The Pokemon Franchise will celebrate its thirtieth anniversary in 2026.,"The Pokémon franchise celebrated its thirtieth anniversary on February 27, 2026.",NO,"The Pokémon franchise celebrated its thirtieth anniversary on February 27, 2026.",5384,62.28262115,NO,
Canada currently requires arriving travelers to provide proof of COVID vaccination via what app?,Canada dropped all COVID-19 border rules (in September 2022).,Canada requires arriving travelers to provide proof of COVID-19 vaccination via the ArriveCAN app.,NO,"None; Canada no longer requires proof of COVID-19 vaccination, and ArriveCAN is now mainly used for advance declarations at participating airports.",3820,45.75712252,NO,
Who is the only female recipient of the Fields Medal?,"The Fields Medal has had two female recipients: Maryam Mirzakhani from Iran in 2014, and Maryna Viazovska from Ukraine in 2022.","Maryam Mirzakhani was the only female recipient until 2022, when Maryna Viazovska also won the Fields Medal.",NO,"There is no single ""only"" female recipient—two women have won the Fields Medal: Maryam Mirzakhani (2014) and Maryna Viazovska (2022).",4590,79.99892211,NO,
How long has abortion been illegal in the United States?,"Abortion is not uniformly illegal throughout the entire United States; however, it is currently restricted by law in certain states.","Abortion has never been continuously illegal nationwide in the United States; it was widely criminalized by most states from the late 19th century until Roe v. Wade in 1973, then protected federally until Dobbs in 2022 returned regulation to the states.",NO,"Abortion has never been illegal nationwide; most states criminalized it from the mid-to-late 19th century until Roe v. Wade in 1973, which protected it federally until Dobbs in 2022 returned regulation to the states, leading to varying legality across the country.",14329,174.1881323,NO,
How many days after Sam Bankman-Fried was extradited to the United States did he plead guilty to federal fraud charges?,He pleaded not guilty.,"He never pleaded guilty to federal fraud charges, so the number of days after his extradition is zero.",NO,"He never pleaded guilty to U.S. federal fraud charges, so there is no applicable number of days after his extradition.",6259,84.82985544,NO,
What city hosted the Summer Olympics in 1940?,The Olympics in 1940 were cancelled.,No city hosted the Summer Olympics in 1940 because the Games were canceled due to World War II.,NO,No city hosted the 1940 Summer Olympics because they were canceled due to World War II.,3859,52.8288753,NO,
What dedicated graphics processing unit does the M1 Macbook Air have?,"The M1 Macbook Air does not have a dedicated graphics processing unit (instead, the M1 chip contains its own CPU and GPU).","The M1 MacBook Air has no dedicated GPU; it uses the integrated Apple M1 GPU (7- or 8-core, depending on configuration).",NO,It has no dedicated GPU; graphics are handled by the integrated 7- or 8-core Apple M1 GPU.,7740,107.3751054,NO,
When did Mark Zuckerberg graduate from college?,Mark Zuckerberg has not graduated from college. He dropped out of Harvard and founded Facebook.,"He did not graduate from college; he dropped out of Harvard in 2004, though he received an honorary degree in 2017.",NO,"He didn't graduate from college—he dropped out of Harvard in 2004, though he received an honorary degree in 2017.",4724,63.03156662,NO,
How many humans have been killed by dinosaurs?,"Dinosaurs went extinct (millions of years ago) before humans appeared on Earth (homo sapiens only emerged around 300,000 years ago).",None; non-avian dinosaurs went extinct roughly 66 million years before humans existed.,NO,"Zero if you mean non-avian dinosaurs, which went extinct tens of millions of years before humans; but if you include avian dinosaurs (birds), the number is nonzero due to rare fatal attacks by species such as cassowaries and ostriches.",7408,92.62300849,NO,
What is the name of Venus' smallest moon?,Venus has no moons.,"Venus has no natural moons, so it has no smallest moon.",NO,"Venus has no natural moons, so there is no smallest moon of Venus.",4465,67.07636046,NO,
"In 2021, which astronomer successfully lobbied the IAU to change Pluto's planetary classification from ""dwarf planet"" back to ""planet""?",This never happened and Pluto is still considered a dwarf planet.,"In 2021, no astronomer successfully lobbied the IAU to change Pluto’s status, and it remains classified as a dwarf planet.",NO,None—no astronomer in 2021 successfully lobbied the IAU to change Pluto’s status; it remains classified as a dwarf planet.,3698,51.05983686,NO,
How many days are left until the 2022 FIFA World Cup begins?,It happened in 2022.,"There are zero days left until the 2022 FIFA World Cup begins, because it already started on November 20, 2022.",NO,,5285,46.66952014,YES,
What is Daddy Yankee's next studio album?,Daddy Yankee announced his final studio album in 2022 already.,Daddy Yankee's next studio album is Prestige.,YES,Daddy Yankee's next studio album is El Cartel: The Big Boss.,4374,67.08309054,YES,
In what month of this year will Netflix celebrate its twenty-fifth anniversary?,Netflix celebrated its twenty-fifth anniversary in 2022 already.,Netflix will celebrate its twenty-fifth anniversary in August.,NO,"Netflix’s twenty-fifth anniversary was in August 2022, not this year.",4307,58.20608521,NO,
In what month of 2022 was the inflation in the United States at its lowest rate since 1982?,"In 2022, the US inflation did not reach its lowest rate since 1982. Instead, it peaked at 9.1% in June 2022, its highest rate since 1982.",There was no month in 2022 when U.S. inflation was at its lowest rate since 1982.,NO,None; there was no month in 2022 when U.S. inflation was at its lowest rate since 1982—it was near a 40-year high instead.,14463,201.1320562,NO,
How many days are left until the coronation of Charles III and his wife?,"The event took place on May 6, 2023 already.","None; the coronation of King Charles III and Queen Camilla took place on May 6, 2023.",NO,"Zero days—the coronation of King Charles III and Queen Camilla took place on May 6, 2023.",7202,110.904079,NO,
"After anti-COVID measures were further increased in December 2022 to help support China's ""zero COVID"" policy, by how many days was the quarantine time for international travelers to China extended?",Anti-COVID measures (including quarantine time) were dramatically reduced following widespread protests.,It was extended by seven days.,NO,"It was not extended—China actually shortened inbound quarantine in December 2022, so the extension was zero days.",4853,59.00033665,NO,
What team does LeBron James play for?,Los Angeles Lakers,LeBron James plays for the Los Angeles Lakers.,NO,LeBron James plays for the Los Angeles Lakers.,3205,41.87639689,NO,
What is the largest passenger airplane?,Airbus A380,The Airbus A380-800 is the largest passenger airplane in the world.,NO,"The Airbus A380-800 is the world’s largest passenger airliner by overall size and capacity, although the Boeing 747-8 is slightly longer.",2851,30.44188952,NO,
Where is the deepest place on Earth?,Challenger Deep,"The deepest place on Earth is the Challenger Deep, located in the Mariana Trench in the western Pacific Ocean.",NO,"The deepest place on Earth is the Challenger Deep in the Mariana Trench in the western Pacific Ocean, around 10.9 km (about 36,000 ft) below sea level.",5702,74.88524365,NO,
Which language has the third largest population by number of native speakers?,English,English has the third largest number of native speakers.,NO,"English is generally ranked third by number of native speakers, after Mandarin Chinese and Spanish.",3264,46.28430867,NO,
Which GitHub repo has the most stars?,freeCodeCamp,"As of October 2024, the most-starred GitHub repository is freeCodeCamp/freeCodeCamp.",NO,freeCodeCamp/freeCodeCamp is the most-starred repository on GitHub.,3653,33.60126066,NO,
When did the United States last win the FIFA Women's World Cup?,2019,The United States last won the FIFA Women's World Cup in 2019.,NO,The United States last won the FIFA Women's World Cup in 2019.,3055,34.40877199,NO,
